year,number
5,0
10,0
11,0
12,0
13,8
14,2
15,0
16,0
17,52
18,0
19,10
20,0
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,6
31,0
32,8
33,0
34,14
35,0
36,8
37,6
38,13
39,0
40,28
41,16
42,49
43,10
44,59
45,0
46,20
47,59
48,16
49,19
50,54
51,4
52,66
53,41
54,114
55,99
56,66
57,2
58,110
59,3
60,37
61,2
62,177
63,2
64,295
65,12
66,205
67,41
68,5
69,164
70,307
71,39
72,112
73,148
74,71
75,150
76,1135
77,268
78,985
79,223
80,77
81,512
82,1517
83,116
84,574
85,20
86,285
87,696
88,178
89,57
90,291
91,113
92,133
93,64
94,388
95,45
96,390
97,45
98,197
99,33
100,386
101,35
102,254
103,19
104,70
105,189
106,229
107,41
108,427
109,95
110,42
