Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
0.0,-1.09804305838,0.0,-1.09804305838,1.0
0.01,-1.09802317934,2.52529419559e-05,-1.09804843228,1.5
0.02,-1.09802318294,4.13518650813e-05,-1.0980645348,2.30751547739
0.03,-1.0980231889,6.81195739018e-05,-1.09809130847,3.47446326944
0.04,-1.0980231972,0.000105460734914,-1.09812865793,4.99027834969
0.05,-1.09802320779,0.000153242702203,-1.09817645049,6.90111442812
0.06,-1.0980232206,0.000211296335655,-1.09823451694,9.18285216364
0.07,-1.09802323556,0.000279417048856,-1.09830265261,12.836932237
0.08,-1.09802325258,0.000357366083389,-1.09838061866,15.9997510009
0.09,-1.09802327155,0.000444872005285,-1.09846814355,19.5187456532
0.1,-1.09802329236,0.000541632418267,-1.09856492478,23.3674647913
0.11,-1.09802331488,0.000647315887201,-1.09867063076,27.5430986015
0.12,-1.09802333896,0.0007615640637,-1.09878490303,32.0344398532
0.13,-1.09802336447,0.000883994004257,-1.09890735847,36.8301085932
0.14,-1.09802339122,0.00101420066947,-1.09903759189,41.9180622599
0.15,-1.09802341906,0.00115175959092,-1.09917517866,44.9754489101
0.16,-1.09802344781,0.00129622969015,-1.0993196775,50.4638420388
0.17,-1.09802347726,0.00144715623165,-1.09947063349,56.2096786473
0.18,-1.09802350723,0.00160407388964,-1.09962758112,62.1989033106
0.19,-1.09802353752,0.00176650990519,-1.09979004743,68.4170320486
0.2,-1.09802356793,0.00193398730815,-1.09995755524,74.8492274997
0.21,-1.09802359826,0.00210602817496,-1.10012962643,81.4803737246
0.22,-1.0980236283,0.00228215689123,-1.10030578519,88.2951511376
0.23,-1.09802365785,0.00246190338457,-1.10048556123,95.2781116776
0.24,-1.09802368673,0.00264480629133,-1.10066849302,102.413754047
0.25,-1.09802371474,0.00283041601804,-1.10085413076,109.686598647
0.26,-1.09802374172,0.00301829765667,-1.10104203938,117.081261671
0.27,-1.09802376751,0.00320803371112,-1.10123180122,124.582527696
0.28,-1.09802379196,0.00339922659143,-1.10142301855,132.175419962
0.29,-1.09802381495,0.00359150083201,-1.10161531578,139.845267388
0.3,-1.09802383638,0.00378450499035,-1.10180834137,147.577767297
0.31,-1.09802385617,0.00397791318419,-1.10200176936,155.35904277
0.32,-1.09802387428,0.00417142622752,-1.10219530051,163.175693805
0.33,-1.09802389069,0.00436477232901,-1.10238866302,171.014841787
0.34,-1.0980239054,0.00455770732106,-1.10258161272,178.864167121
0.35,-1.09802391846,0.00475001439344,-1.10277393285,186.711939955
0.36,-1.09802392995,0.00494150331232,-1.10296543326,194.547043445
0.37,-1.09802393998,0.00513200911377,-1.10315594909,202.358988584
0.38,-1.09802394869,0.00532139026979,-1.10334533896,210.137919375
0.39,-1.09802395625,0.0055095263355,-1.10353348259,217.8746074
0.4,-1.09802396289,0.00569631509714,-1.10372027798,225.560435247
0.41,-1.09802396882,0.00588166925227,-1.10390563807,233.18736867
0.42,-1.09802397431,0.00606551266625,-1.10408948698,240.747917593
0.43,-1.09802397964,0.00624777626107,-1.1042717559,248.235086265
0.44,-1.09802398509,0.00642839360545,-1.1044523787,255.642313033
0.45,-1.09802399098,0.00660729628654,-1.10463128727,262.963400351
0.46,-1.09802399761,0.00678440915487,-1.10480840676,270.192435872
0.47,-1.09802400528,0.00695964554354,-1.10498365082,277.323705648
0.48,-1.09802401428,0.00713290257105,-1.10515691685,284.351600664
0.49,-1.09802402489,0.00730405664274,-1.10532808153,291.270518167
0.5,-1.09802403734,0.0074729592697,-1.10549699661,298.074759404
0.51,-1.09802405186,0.00763943332476,-1.10566348518,309.127922857
0.52,-1.0980240686,0.00780326985304,-1.10582733846,315.674494856
0.53,-1.0980240877,0.00796422554958,-1.10598831325,322.084468933
0.54,-1.09802410922,0.00812202100793,-1.10614613023,328.350493757
0.55,-1.09802413317,0.00827633983212,-1.106300473,334.46459435
0.56,-1.09802415948,0.00842682868982,-1.10645098817,340.418093505
0.57,-1.09802418805,0.00857309836676,-1.10659728642,346.201544402
0.58,-1.09802421869,0.00871472586249,-1.10673894455,351.804676531
0.59,-1.09802425112,0.00885125754521,-1.10687550867,357.216356976
0.6,-1.09802428505,0.00898221335931,-1.1070064984,362.424568958
0.61,-1.09802432006,0.00910709205423,-1.10713141212,367.416409107
0.62,-1.09802435574,0.00922537737773,-1.10724973312,372.178104505
0.63,-1.09802439158,0.0093365451507,-1.10736093673,376.695050028
0.64,-1.09802442705,0.0094400711166,-1.10746449817,380.951866188
0.65,-1.09802446158,0.00953543943492,-1.10755990101,384.932477379
0.66,-1.09802449458,0.00962215166721,-1.10764664624,388.620210186
0.67,-1.09802452544,0.00969973608578,-1.10772426153,391.997911041
0.68,-1.09802455357,0.00976775712031,-1.10779231069,395.048082171
0.69,-1.09802457838,0.009825824746,-1.10785040313,397.753034374
0.7,-1.09802459931,0.00987360361013,-1.10789820292,400.095054756
0.71,-1.09802461585,0.00991082169078,-1.10793543754,402.056587204
0.72,-1.09802462751,0.00993727828372,-1.1079619058,403.620423046
0.73,-1.09802463392,0.00995285111997,-1.10797748504,404.769899046
