Time (ps),Total Energy (eV),Kinetic Energy (eV),Potential Energy (eV),VACF
0.0,-0.722164443677,0.0,-0.722164443677,1.0
0.01,-0.722124684402,4.18256036127e-05,-0.722166510006,1.5
0.02,-0.722124688005,4.80017335064e-05,-0.722172689738,1.60025257038
0.03,-0.722124693979,5.82312861408e-05,-0.722182925265,1.73017259466
0.04,-0.722124702279,7.24187864391e-05,-0.722197121065,2.02707796081
0.05,-0.722124712842,9.04316094288e-05,-0.722215144452,2.28171345464
0.06,-0.722124725588,0.000112101017338,-0.722236826605,2.60536349136
0.07,-0.722124740418,0.000137223488514,-0.722261963906,3.09490640938
0.08,-0.722124757215,0.000165562334554,-0.722290319549,3.52260058872
0.09,-0.722124775846,0.000196849600922,-0.722321625447,3.98746133093
0.1,-0.722124796163,0.000230788245126,-0.722355584408,4.48645719615
0.11,-0.722124817998,0.00026705458507,-0.722391872583,5.016358888
0.12,-0.722124841171,0.000305301008579,-0.722430142179,5.5736910469
0.13,-0.722124865484,0.000345158933259,-0.722470024417,6.1546828592
0.14,-0.722124890728,0.000386242003781,-0.722511132731,6.75508576774
0.15,-0.722124916678,0.000428149511366,-0.722553066189,7.11663072978
0.16,-0.722124943099,0.000470470017765,-0.722595413117,7.73369767473
0.17,-0.722124969746,0.000512785163237,-0.722637754909,8.36114528421
0.18,-0.722124996363,0.000554673635138,-0.722679669998,8.99264525196
0.19,-0.722125022689,0.000595715270592,-0.72272073796,9.6235039303
0.2,-0.722125048458,0.000635495263507,-0.722760543721,10.2490376993
0.21,-0.722125073399,0.000673608442849,-0.722798681842,10.8645640203
0.22,-0.722125097242,0.000709663585756,-0.722834760828,11.465428377
0.23,-0.72212511972,0.00074328772574,-0.722868407446,12.0470369241
0.24,-0.722125140569,0.000774130413064,-0.722899270982,12.6048907879
0.25,-0.722125159536,0.000801867881354,-0.722927027418,13.1346209791
0.26,-0.722125176377,0.000826207071872,-0.722951383449,13.6320234286
0.27,-0.722125190863,0.000846889464568,-0.722972080328,14.093093779
0.28,-0.722125202784,0.000863694663303,-0.722988897448,14.5140615876
0.29,-0.722125211951,0.000876443681507,-0.723001655633,14.891423601
0.3,-0.722125218201,0.000885001874167,-0.723010220075,15.2219757545
0.31,-0.722125221396,0.000889281462546,-0.723014502859,15.502843543
0.32,-0.722125221435,0.000889243599474,-0.723014465034,15.7315104066
0.33,-0.722125218246,0.000884899925565,-0.723010118171,15.9058437745
0.34,-0.722125211798,0.000876313570352,-0.723001525369,16.0241184106
