"initialpos, x","initialpos, y","finalpos, x","finalpos, y"
0.0,0.0,-6.08676056094e-10,-6.03428933053e-10
7.64396654899e-10,0.0,1.3846312403e-09,1.17006115339e-09
1.14659498235e-09,0.0,1.41634224021e-09,7.86402960658e-10
1.91099163725e-09,0.0,1.72625291874e-09,1.02536803654e-09
2.67538829215e-09,0.0,2.64228661956e-09,-3.45871204478e-09
3.05758661959e-09,0.0,3.19093186036e-09,-3.43881492979e-09
3.82198327449e-09,0.0,4.98716872911e-09,9.89690582769e-10
4.58637992939e-09,0.0,4.62455145568e-09,9.73548749298e-10
4.96857825684e-09,0.0,4.87425126496e-09,6.32301929141e-10
5.73297491174e-09,0.0,6.32593755453e-09,6.71579011315e-10
0.0,7.64396654899e-10,1.05212718462e-09,9.51789074712e-10
7.64396654899e-10,7.64396654899e-10,5.50328717826e-10,6.44388705839e-10
1.14659498235e-09,7.64396654899e-10,9.321087316e-10,6.08305990899e-10
1.91099163725e-09,7.64396654899e-10,1.0271617648e-09,-2.6003529986e-10
2.67538829215e-09,7.64396654899e-10,1.25482969654e-09,4.11890463905e-10
3.05758661959e-09,7.64396654899e-10,4.69606078167e-09,3.051661464e-10
3.82198327449e-09,7.64396654899e-10,4.29319235252e-09,2.46369973895e-10
4.58637992939e-09,7.64396654899e-10,4.70017586489e-09,1.46606505714e-09
4.96857825684e-09,7.64396654899e-10,5.18822275061e-09,4.74734845358e-10
5.73297491174e-09,7.64396654899e-10,4.48482748576e-09,6.02886989827e-10
0.0,1.14659498235e-09,1.64862666463e-09,1.3975344679e-09
7.64396654899e-10,1.14659498235e-09,-2.07532547721e-10,1.54546491896e-09
1.14659498235e-09,1.14659498235e-09,1.60479722323e-09,1.82569575787e-09
1.91099163725e-09,1.14659498235e-09,2.05351595618e-09,1.28481032461e-09
2.67538829215e-09,1.14659498235e-09,1.39487580098e-09,-1.5351142592e-09
3.05758661959e-09,1.14659498235e-09,4.13760999472e-09,8.18111277715e-10
3.82198327449e-09,1.14659498235e-09,4.35756881501e-09,1.34374309549e-09
4.58637992939e-09,1.14659498235e-09,3.50749630876e-09,7.90787440347e-10
4.96857825684e-09,1.14659498235e-09,5.0846049437e-09,1.32928190857e-09
5.73297491174e-09,1.14659498235e-09,6.13312316092e-09,1.0448386948e-09
0.0,1.91099163725e-09,1.31181059291e-09,1.511562388e-09
7.64396654899e-10,1.91099163725e-09,1.99529737752e-10,1.65205206161e-09
1.14659498235e-09,1.91099163725e-09,9.67729853763e-10,1.33928429246e-09
1.91099163725e-09,1.91099163725e-09,1.03984355446e-09,2.25419651866e-09
2.67538829215e-09,1.91099163725e-09,1.79424612291e-09,6.4882433866e-10
3.05758661959e-09,1.91099163725e-09,3.84122286113e-09,5.53933643719e-10
3.82198327449e-09,1.91099163725e-09,4.40842470146e-09,3.91513674548e-09
4.58637992939e-09,1.91099163725e-09,4.37043849864e-09,1.75106566415e-09
4.96857825684e-09,1.91099163725e-09,5.00912524659e-09,1.67005551913e-09
5.73297491174e-09,1.91099163725e-09,5.34656319609e-09,8.37208615337e-10
0.0,2.67538829215e-09,-3.45912564051e-09,2.64222066354e-09
7.64396654899e-10,2.67538829215e-09,6.81740345697e-10,1.00433326527e-09
1.14659498235e-09,2.67538829215e-09,9.54888936669e-11,5.17205679307e-09
1.91099163725e-09,2.67538829215e-09,4.91635133697e-10,1.35374908796e-09
2.67538829215e-09,2.67538829215e-09,3.91754047319e-09,4.02386174666e-09
3.05758661959e-09,2.67538829215e-09,3.58804556513e-09,3.57852339688e-09
3.82198327449e-09,2.67538829215e-09,3.3556873525e-09,4.49003602283e-10
4.58637992939e-09,2.67538829215e-09,7.32989704778e-09,3.45040385081e-10
4.96857825684e-09,2.67538829215e-09,5.88766281341e-09,6.35428510181e-10
5.73297491174e-09,2.67538829215e-09,9.28158127675e-09,2.70622149218e-09
0.0,3.05758661959e-09,-3.43903619513e-09,3.19028391511e-09
7.64396654899e-10,3.05758661959e-09,3.5640221708e-10,4.73888859164e-09
1.14659498235e-09,3.05758661959e-09,2.2784054206e-10,2.55102008624e-09
1.91099163725e-09,3.05758661959e-09,5.77188603563e-10,3.25842092897e-09
2.67538829215e-09,3.05758661959e-09,3.86304069337e-09,4.40794782183e-09
3.05758661959e-09,3.05758661959e-09,3.47776119232e-09,4.66073886848e-09
3.82198327449e-09,3.05758661959e-09,4.20488053929e-09,4.26061629939e-09
4.58637992939e-09,3.05758661959e-09,4.17761360986e-09,3.53293872393e-09
4.96857825684e-09,3.05758661959e-09,4.60689777728e-09,3.57657515938e-09
5.73297491174e-09,3.05758661959e-09,9.26253503149e-09,3.13224513895e-09
0.0,3.82198327449e-09,1.75278434716e-09,4.1719271645e-09
7.64396654899e-10,3.82198327449e-09,-1.07103725493e-10,4.23478985395e-09
1.14659498235e-09,3.82198327449e-09,2.70851986675e-09,4.61536771327e-09
1.91099163725e-09,3.82198327449e-09,3.077997515e-10,3.54512150459e-09
2.67538829215e-09,3.82198327449e-09,2.21131359864e-09,4.9264878483e-09
3.05758661959e-09,3.82198327449e-09,4.2824834902e-09,4.61810217995e-09
3.82198327449e-09,3.82198327449e-09,4.57906521116e-09,4.85541999586e-09
4.58637992939e-09,3.82198327449e-09,4.9640550975e-09,3.18431717649e-09
4.96857825684e-09,3.82198327449e-09,5.01075731876e-09,5.12502377442e-09
5.73297491174e-09,3.82198327449e-09,4.58000940041e-09,5.69662020128e-09
0.0,4.58637992939e-09,1.24264120885e-09,4.29738631283e-09
7.64396654899e-10,4.58637992939e-09,2.31129659534e-10,3.9154667477e-09
1.14659498235e-09,4.58637992939e-09,2.13163171812e-09,4.26596675904e-09
1.91099163725e-09,4.58637992939e-09,2.02846372493e-09,4.64457998051e-09
2.67538829215e-09,4.58637992939e-09,3.06868474587e-09,4.56310259601e-09
3.05758661959e-09,4.58637992939e-09,3.95671188937e-09,4.77223284466e-09
3.82198327449e-09,4.58637992939e-09,3.43685232597e-09,4.01168846165e-09
4.58637992939e-09,4.58637992939e-09,4.22264449918e-09,5.02120392801e-09
4.96857825684e-09,4.58637992939e-09,4.99205234737e-09,3.5856538827e-09
5.73297491174e-09,4.58637992939e-09,4.35899309277e-09,5.41967517936e-09
0.0,4.96857825684e-09,2.67185024489e-10,4.27345277821e-09
7.64396654899e-10,4.96857825684e-09,7.12972485435e-10,4.81892502262e-09
1.14659498235e-09,4.96857825684e-09,1.81868453093e-09,5.01100184511e-09
1.91099163725e-09,4.96857825684e-09,1.11840830988e-09,4.93238952444e-09
2.67538829215e-09,4.96857825684e-09,8.76257730812e-10,4.51080831594e-09
3.05758661959e-09,4.96857825684e-09,3.34964737647e-09,5.06549069375e-09
3.82198327449e-09,4.96857825684e-09,5.110335673e-09,6.34438219225e-09
4.58637992939e-09,4.96857825684e-09,2.89581304594e-09,4.93712536636e-09
4.96857825684e-09,4.96857825684e-09,4.65038009503e-09,5.19336149525e-09
5.73297491174e-09,4.96857825684e-09,4.74216003726e-09,4.08230650817e-09
0.0,5.73297491174e-09,4.10287036011e-10,6.45861642417e-09
7.64396654899e-10,5.73297491174e-09,4.74024911211e-10,5.0803868217e-09
1.14659498235e-09,5.73297491174e-09,8.19091846815e-10,5.25224844672e-09
1.91099163725e-09,5.73297491174e-09,1.61471827773e-09,4.64700715554e-09
2.67538829215e-09,5.73297491174e-09,2.70689193765e-09,9.28369647644e-09
3.05758661959e-09,5.73297491174e-09,3.13051522037e-09,9.26207293874e-09
3.82198327449e-09,5.73297491174e-09,4.85576231395e-09,6.05135581728e-09
4.58637992939e-09,5.73297491174e-09,4.98476990862e-09,5.64084119338e-09
4.96857825684e-09,5.73297491174e-09,5.33408607383e-09,5.3805827696e-09
5.73297491174e-09,5.73297491174e-09,6.58465306623e-09,6.55341334132e-09
