Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
1.2233088786785586,k_A,8,0,1,0,99,99.0
2.8687427902243865,k_A,2,0,2,0,98,98.0
3.2074114673294574,k_B,6,8,2,1,97,97.0
3.3053751198276262,k_B,16,14,2,2,96,96.0
4.0582062596678128,k_B,12,2,2,3,95,95.0
4.2553249352047544,k_B,4,12,2,4,94,94.0
4.8825534331896314,k_A,6,4,3,4,93,93.0
4.9471068011801336,k_B,12,16,3,5,92,92.0
5.3701797941899025,k_B,14,6,3,6,91,91.0
5.5570087700042201,k_B,10,12,3,7,90,90.0
5.6155411733259957,k_B,16,16,3,8,89,89.0
6.0784117504883497,k_B,8,6,3,9,88,88.0
6.1508173272264557,k_B,8,16,3,10,87,87.0
6.4908447200413031,k_A,14,8,4,10,86,86.0
7.9168764219240435,k_B,10,0,4,11,85,85.0
8.8055706567470562,k_A,10,2,5,11,84,84.0
10.187150832467671,k_A,14,0,6,11,83,83.0
