Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.00052421206380838374,k_A,14,18,1,0,99,99.0
0.0013329475234639704,k_B,10,18,1,1,98,98.0
0.0076613799661172212,k_A,4,14,2,1,97,97.0
0.050211405692079637,k_A,4,2,3,1,96,96.0
0.065624134942485465,k_A,12,8,4,1,95,95.0
0.10210924187982029,k_B,12,2,4,2,94,94.0
0.15671575981048647,k_B,12,0,4,3,93,93.0
0.17034491077969313,k_B,4,10,4,4,92,92.0
0.20147479068676802,k_A,8,4,5,4,91,91.0
0.24711399448529983,k_B,2,2,5,5,90,90.0
0.26395000995292839,k_Ax,12,8,4,5,91,91.0
0.27116517629661929,k_A,2,14,5,5,90,90.0
0.29903171506671444,k_A,18,4,6,5,89,89.0
0.31315912003365803,k_A,6,10,7,5,88,88.0
0.32570873862047334,k_A,14,10,8,5,87,87.0
0.34306610047143404,k_B,10,8,8,6,86,86.0
0.36499166036911246,k_B,14,6,8,7,85,85.0
0.36818426819108535,k_B,12,16,8,8,84,84.0
0.38263006114438231,k_A,8,10,9,8,83,83.0
0.40812952792600676,k_A,6,6,10,8,82,82.0
0.42629379614771423,k_A,12,8,11,8,81,81.0
0.44411787965786015,k_A,14,8,12,8,80,80.0
0.45495811052135382,k_A,8,12,13,8,79,79.0
0.45610380003966122,k_A,8,18,14,8,78,78.0
0.46531427300955702,k_A,16,12,15,8,77,77.0
0.49490161934240368,k_A,16,4,16,8,76,76.0
0.51297671542815204,k_Ax,14,8,15,8,77,77.0
0.51457944743576289,k_A,4,18,16,8,76,76.0
0.54145360517206176,k_A,4,6,17,8,75,75.0
0.56760161564236722,k_Ax,6,6,16,8,76,76.0
0.57472277019886064,k_B,8,14,16,9,75,75.0
0.57531457057724977,k_Ax,14,18,15,9,76,76.0
0.64488917609071728,k_B,8,0,15,10,75,75.0
0.66726697990519102,k_A,0,8,16,10,74,74.0
0.72669162703019186,k_A,18,0,17,10,73,73.0
0.74917434373918312,k_Ax,0,8,16,10,74,74.0
0.75409934500897446,k_B,2,16,16,11,73,73.0
0.75597001095093563,k_Ax,4,18,15,11,74,74.0
0.76279100515429565,k_B,12,14,15,12,73,73.0
0.77122250772417833,k_A,0,14,16,12,72,72.0
0.77203998127797979,k_A,14,18,17,12,71,71.0
0.78993251618176208,k_A,16,8,18,12,70,70.0
0.82823859489722251,k_A,4,4,19,12,69,69.0
0.86460943197766837,k_Ax,8,4,18,12,70,70.0
0.87336000710415274,k_A,18,12,19,12,69,69.0
0.89630688355922572,k_B,18,6,19,13,68,68.0
0.9218902532002089,k_B,10,6,19,14,67,67.0
0.93667204090161671,k_Ax,14,10,18,14,68,68.0
0.96989548011825721,k_B,12,4,18,15,67,67.0
1.0380537729912536,k_B,14,0,18,16,66,66.0
1.0393303769159443,k_Ax,8,18,17,16,67,67.0
1.044947192073135,k_B,4,16,17,17,66,66.0
1.0484320010830832,k_A,18,16,18,17,65,65.0
1.0486622299915906,k_A,18,18,19,17,64,64.0
1.0611537025697382,k_A,4,12,20,17,63,63.0
1.1180860190133799,k_B,6,2,20,18,62,62.0
1.1183360122745933,k_B,16,18,20,19,61,61.0
1.1921211335641262,k_A,16,0,21,19,60,60.0
1.2071401464961384,k_B,16,10,21,20,59,59.0
1.3049809937158963,k_A,4,0,22,20,58,57.99999999999999
1.3345796634151588,k_B,12,6,22,21,57,56.99999999999999
1.3737528029432482,k_A,14,4,23,21,56,56.00000000000001
1.4180923367714502,k_A,6,4,24,21,55,55.00000000000001
1.4401165721560782,k_B,18,8,24,22,54,54.0
1.4625552698976825,k_A,0,10,25,22,53,53.0
1.4718200951983413,k_A,10,14,26,22,52,52.0
1.4857844683173311,k_Ax,8,12,25,22,53,53.0
1.5235974645909593,k_A,0,6,26,22,52,52.0
1.5739640786134692,k_A,0,4,27,22,51,51.0
1.5757477379152474,k_A,6,18,28,22,50,50.0
1.6243461070919201,k_B,2,4,28,23,49,49.0
1.6253814060897465,k_B,8,18,28,24,48,48.0
1.676296835224717,k_Bx,2,4,28,23,49,49.0
1.6829087770971523,k_A,0,16,29,23,48,48.0
1.701024354840923,k_B,14,10,29,24,47,47.0
1.7574129859834464,k_B,16,2,29,25,46,46.0
1.7639522127912002,k_A,6,16,30,25,45,45.0
1.7780809771550312,k_A,10,12,31,25,44,44.0
1.7784572181184954,k_Ax,14,18,30,25,45,45.0
1.7805708751883458,k_A,4,18,31,25,44,44.0
1.8211115384529977,k_A,2,6,32,25,43,43.0
1.8481492854414874,k_B,8,8,32,26,42,42.0
1.8630522785848247,k_B,8,12,32,27,41,41.0
1.9484995038897868,k_Ax,16,0,31,27,42,42.0
2.098381112942572,k_B,0,0,31,28,41,41.0
2.1265370541988218,k_Ax,12,8,30,28,42,42.0
2.133255061897557,k_Ax,6,16,29,28,43,43.0
2.2205586028323134,k_B,16,0,29,29,42,42.0
2.2228516570535071,k_B,2,18,29,30,41,41.0
2.2648933367261241,k_Ax,4,6,28,30,42,42.0
2.3010275606709385,k_A,16,6,29,30,41,41.0
2.3166387653938521,k_Ax,10,12,28,30,42,42.0
2.328477393274488,k_Ax,0,14,27,30,43,43.0
2.3336792902059758,k_A,10,16,28,30,42,42.0
2.3658727548261731,k_A,4,8,29,30,41,41.0
2.3889611399350259,k_A,10,10,30,30,40,40.0
2.4326570566719048,k_Ax,2,6,29,30,41,41.0
2.4774903005960183,k_Ax,0,6,28,30,42,42.0
2.5351127445819772,k_B,2,4,28,31,41,41.0
2.5723199168736373,k_B,8,6,28,32,40,40.0
2.6015558759770716,k_B,14,8,28,33,39,39.0
2.6311983882441026,k_Ax,16,8,27,33,40,40.0
2.7450452632526265,k_B,6,0,27,34,39,39.0
2.7862008532790781,k_B,6,6,27,35,38,38.0
2.8683136533239648,k_A,10,2,28,35,37,37.0
2.8781026633100719,k_B,16,14,28,36,36,36.0
2.8893845003697902,k_Bx,8,14,28,35,37,37.0
2.9292197788173686,k_A,2,8,29,35,36,36.0
2.9641520536701704,k_B,12,8,29,36,35,35.0
2.9771867727108572,k_B,6,14,29,37,34,34.0
3.0432684153246723,k_Ax,6,4,28,37,35,35.0
3.1114555784337754,k_Ax,4,4,27,37,36,36.0
3.1550910781669463,k_A,4,6,28,37,35,35.0
3.2109510041672618,k_B,10,4,28,38,34,34.0
3.2483282342923521,k_Bx,14,8,28,37,35,35.0
3.2960526230898499,k_B,2,6,28,38,34,34.0
3.3385384465751176,k_Ax,4,8,27,38,35,35.0
3.3520181755537783,k_Ax,4,14,26,38,36,36.0
3.4584482305203643,k_A,0,2,27,38,35,35.0
3.5438847240174325,k_A,14,2,28,38,34,34.0
3.6632963123021502,k_Bx,14,0,28,37,35,35.0
3.6666708023476025,k_B,0,18,28,38,34,34.0
3.6821514850848343,k_Ax,18,12,27,38,35,35.0
3.7062844145903844,k_A,2,12,28,38,34,34.0
3.7227111109720195,k_A,18,12,29,38,33,33.0
3.7360728767017952,k_A,4,14,30,38,32,32.0
3.7879915031466944,k_A,0,6,31,38,31,31.0
3.8976130103048043,k_B,14,0,31,39,30,30.0
3.9129139130411423,k_B,0,14,31,40,29,28.999999999999996
3.951183109355719,k_A,16,8,32,40,28,28.000000000000004
3.9754392022487863,k_Ax,4,12,31,40,29,28.999999999999996
4.0440235181794071,k_B,6,4,31,41,28,28.000000000000004
4.0809960729154842,k_B,2,10,31,42,27,27.0
4.1237645909545844,k_B,14,8,31,43,26,26.0
4.1358142893395415,k_B,18,14,31,44,25,25.0
4.2111322620386602,k_B,4,4,31,45,24,24.0
4.2131141369722904,k_B,12,18,31,46,23,23.0
4.2354876815227618,k_B,12,12,31,47,22,22.0
4.2842809560718651,k_A,6,8,32,47,21,21.0
4.3069818922919216,k_A,14,12,33,47,20,20.0
4.4119013369458573,k_B,8,2,33,48,19,19.0
