Time (s),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0,start,0,0,0,0,100,100
0.0243924618,k_B,6,12,0,1,99,99
0.1108090445,k_B,0,4,0,2,98,98
0.1112592555,k_A,18,18,1,2,97,97
0.1890196482,k_B,8,4,1,3,96,96
0.2855789928,k_A,14,2,2,3,95,95
0.3777102612,k_A,18,2,3,3,94,94
0.3976859415,k_A,0,14,4,3,93,93
0.4120219633,k_B,14,14,4,4,92,92
0.4859929755,k_A,16,4,5,4,91,91
0.677647479,k_A,6,0,6,4,90,90
0.7110635364,k_A,12,10,7,4,89,89
0.7664021945,k_A,18,6,8,4,88,88
1.0715522743,k_A,0,0,9,4,87,87
1.1647461831,k_A,2,4,10,4,86,86
1.3156735703,k_A,16,0,11,4,85,85
1.3481496313,k_B,16,10,11,5,84,84
1.4109527006,k_A,12,6,12,5,83,83
1.4975114979,k_A,10,4,13,5,82,82
1.5644503865,k_B,8,6,13,6,81,81
1.613434324,k_B,12,8,13,7,80,80
1.6241656679,k_B,8,16,13,8,79,79
1.6269364073,k_B,10,18,13,9,78,78
1.6412852818,k_B,18,14,13,10,77,77
1.6771745836,k_Ax,12,10,12,10,78,78
1.7165427774,k_B,6,10,12,11,77,77
1.7772539491,k_Ax,18,6,11,11,78,78
1.7881257745,k_Bx,8,16,11,10,79,79
1.8502245995,k_A,16,6,12,10,78,78
1.9487684431,k_Bx,0,4,12,9,79,79
1.9834128534,k_B,14,10,12,10,78,78
2.0531759367,k_B,4,6,12,11,77,77
2.0905718364,k_B,10,10,12,12,76,76
2.0966892626,k_B,0,18,12,13,75,75
2.1075649582,k_A,8,16,13,13,74,74
2.1113242519,k_B,6,18,13,14,73,73
2.1616538602,k_A,10,8,14,14,72,72
2.2274827193,k_B,10,6,14,15,71,71
2.3270237553,k_A,0,4,15,15,70,70
2.3491654901,k_B,2,14,15,16,69,69
2.4179565556,k_Bx,10,6,15,15,70,70
2.4565106286,k_Bx,10,10,15,14,71,71
2.8183114558,k_Ax,0,0,14,14,72,72
2.9278264105,k_A,12,2,15,14,71,71
2.9526420518,k_B,14,12,15,15,70,70
2.9590122716,k_B,18,16,15,16,69,69
3.0011627864,k_B,2,10,15,17,68,68
3.1112421567,k_Ax,12,2,14,17,69,69
3.1145930141,k_B,8,18,14,18,68,68
3.1522749218,k_A,10,10,15,18,67,67
3.2277983601,k_B,0,6,15,19,66,66
3.359939463,k_A,4,2,16,19,65,65
3.4671146148,k_A,16,2,17,19,64,64
3.480758521,k_A,2,16,18,19,63,63
3.6085306501,k_B,6,2,18,20,62,62
3.6293195362,k_A,6,14,19,20,61,61
3.6691564348,k_Ax,10,10,18,20,62,62
3.6694550672,k_Ax,18,18,17,20,63,63
3.6883463057,k_A,10,14,18,20,62,62
3.7420294516,k_B,8,8,18,21,61,61
3.7730437795,k_B,4,12,18,22,60,60
4.0587217902,k_A,2,0,19,22,59,59
4.1214154697,k_B,0,8,19,23,58,58
4.2080871615,k_Ax,16,4,18,23,59,59
4.2834137944,k_A,6,6,19,23,58,58
4.3421580646,k_A,6,8,20,23,57,57
4.3941079137,k_B,16,8,20,24,56,56
4.4677294413,k_A,10,6,21,24,55,55
4.568155253,k_B,6,4,21,25,54,54
4.5836255976,k_Ax,2,16,20,25,55,55
4.6399780884,k_A,14,8,21,25,54,54
4.6478938673,k_Bx,18,16,21,24,55,55
4.6914534202,k_A,12,10,22,24,54,54
4.7358704751,k_B,10,10,22,25,53,53
4.8978528848,k_A,18,0,23,25,52,52
4.9090051359,k_A,14,16,24,25,51,51
4.914047647,k_Bx,6,18,24,24,52,52
4.9191333118,k_B,6,18,24,25,51,51
4.9410662481,k_A,12,14,25,25,50,50
5.0537872058,k_Ax,0,4,24,25,51,51
5.1008710884,k_Bx,6,10,24,24,52,52
5.1198421715,k_B,16,14,24,25,51,51
5.1720156974,k_A,0,10,25,25,50,50
5.2134331866,k_Bx,16,10,25,24,51,51
5.2442578974,k_A,12,12,26,24,50,50
5.2595576953,k_B,4,16,26,25,49,49
5.3975473615,k_A,8,2,27,25,48,48
5.4187260085,k_Ax,10,14,26,25,49,49
5.4274673957,k_B,18,16,26,26,48,48
5.5836394931,k_B,0,2,26,27,47,47
5.613694544,k_Bx,14,12,26,26,48,48
5.7014842872,k_B,18,4,26,27,47,47
5.8022030825,k_A,12,4,27,27,46,46
5.8195767032,k_B,0,16,27,28,45,45
5.8279218587,k_Bx,0,18,27,27,46,46
5.8697312162,k_B,18,10,27,28,45,45
6.0638226825,k_A,12,0,28,28,44,44
6.1185964137,k_Bx,2,10,28,27,45,45
6.1333589765,k_Ax,8,16,27,27,46,46
6.1441744442,k_A,16,16,28,27,45,45
6.2056128352,k_Ax,14,8,27,27,46,46
6.2776026801,k_Bx,0,8,27,26,47,47
6.3164945946,k_B,0,12,27,27,46,46
6.4004540877,k_Bx,8,6,27,26,47,47
6.4416870254,k_B,16,10,27,27,46,46
6.4603996118,k_Bx,18,14,27,26,47,47
6.500404222,k_Bx,0,12,27,25,48,48
6.5081809192,k_A,2,18,28,25,47,47
6.5169482828,k_Bx,18,16,28,24,48,48
6.6408416419,k_Ax,18,2,27,24,49,49
6.6620994118,k_B,10,14,27,25,48,48
6.7038688961,k_Bx,14,10,27,24,49,49
6.7180089418,k_B,6,16,27,25,48,48
6.7515113533,k_A,8,12,28,25,47,47
6.822337513,k_B,18,6,28,26,46,46
6.8237093011,k_B,16,18,28,27,45,45
6.829458773,k_B,4,18,28,28,44,44
6.8345444747,k_Bx,6,18,28,27,45,45
6.8476278448,k_B,8,16,28,28,44,44
6.9671092729,k_A,0,4,29,28,43,43
7.0840408168,k_Ax,2,4,28,28,44,44
7.1846229971,k_A,14,4,29,28,43,43
7.1947893842,k_Ax,16,16,28,28,44,44
7.2338400344,k_A,0,12,29,28,43,43
7.2524399946,k_B,18,14,29,29,42,42
7.2634035267,k_A,16,16,30,29,41,41
7.3803200353,k_B,2,4,30,30,40,40
7.447579679,k_A,4,8,31,30,39,39
7.4856952829,k_B,2,12,31,31,38,38
7.7307209579,k_A,8,0,32,31,37,37
7.898661897,k_B,2,2,32,32,36,36
7.9445639009,k_Ax,12,10,31,32,37,37
7.9999145076,k_B,2,10,31,33,36,36
8.0074648958,k_Ax,2,18,30,33,37,37
8.2878215933,k_B,4,0,30,34,36,36
8.3775501517,k_B,8,6,30,35,35,35
8.5299427739,k_A,12,2,31,35,34,34
8.5361848392,k_B,6,18,31,36,33,33
8.5684352818,k_B,16,12,31,37,32,32
8.7295248473,k_A,10,2,32,37,31,31
8.7704174283,k_Bx,6,12,32,36,32,32
8.8127218733,k_Bx,4,12,32,35,33,33
8.8295227631,k_Bx,6,16,32,34,34,34
8.9254121773,k_Bx,8,6,32,33,35,35
9.0039317086,k_A,2,8,33,33,34,34
9.1022256216,k_Ax,6,6,32,33,35,35
9.1408706588,k_B,6,12,32,34,34,34
9.1514464731,k_A,18,16,33,34,33,33
9.1786704842,k_B,4,14,33,35,32,32
9.2416768767,k_A,18,8,34,35,31,31
9.3161529002,k_Ax,4,8,33,35,32,32
9.3643413755,k_B,12,10,33,36,31,31
9.4629759772,k_A,6,6,34,36,30,30
9.812873117,k_B,0,0,34,37,29,29
9.8897333144,k_A,4,8,35,37,28,28
9.9165461548,k_B,8,14,35,38,27,27
9.971850276,k_A,8,10,36,38,26,26
10.0369639959,k_Ax,18,8,35,38,27,27
