Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.0029114921795413105,k_A,14,12,1,0,99,99.0
0.013102950583969968,k_B,8,4,1,1,98,98.0
0.031793319484919848,k_B,14,0,1,2,97,97.0
0.037082531437281172,k_B,18,8,1,3,96,96.0
0.052444598381893311,k_A,6,2,2,3,95,95.0
0.054318072595252974,k_A,16,14,3,3,94,94.0
0.077054810049949879,k_A,8,0,4,3,93,93.0
0.081598851539910727,k_B,10,10,4,4,92,92.0
0.095241721172398014,k_A,14,2,5,4,91,91.0
0.10216261971556974,k_B,0,8,5,5,90,90.0
0.10429578017602054,k_B,12,14,5,6,89,89.0
0.1085885493967254,k_B,16,10,5,7,88,88.0
0.1205502509151939,k_A,2,4,6,7,87,87.0
0.12313212146065042,k_B,4,14,6,8,86,86.0
0.12704395132332352,k_A,4,12,7,8,85,85.0
0.13002019924223393,k_A,18,12,8,8,84,84.0
0.14323647013618659,k_B,16,2,8,9,83,83.0
0.1511719645213418,k_A,14,6,9,9,82,82.0
0.1539865844309499,k_A,2,14,10,9,81,81.0
0.15791755763334697,k_Ax,4,12,9,9,82,82.0
0.16858233367842895,k_A,14,4,10,9,81,81.0
0.17469240408669323,k_B,12,8,10,10,80,80.0
0.17493974385786401,k_A,14,18,11,10,79,79.0
0.20255248336463477,k_A,6,0,12,10,78,78.0
0.20599672045910888,k_A,12,12,13,10,77,77.0
0.20753597273648855,k_A,8,16,14,10,76,76.0
0.20967249935053844,k_A,18,14,15,10,75,75.0
0.21033290330186311,k_B,4,18,15,11,74,74.0
0.21647786368579303,k_A,14,8,16,11,73,73.0
0.22400645939916208,k_A,18,6,17,11,72,72.0
0.23291106716186813,k_A,6,6,18,11,71,71.0
0.23509575965978891,k_Ax,16,14,17,11,72,72.0
0.23585370390791405,k_A,2,18,18,11,71,71.0
0.23963350951599902,k_A,8,12,19,11,70,70.0
0.24430479488444864,k_A,14,10,20,11,69,69.0
0.25196405607660033,k_B,16,6,20,12,68,68.0
0.25433515238478394,k_A,14,14,21,12,67,67.0
0.26205289727214437,k_Ax,18,6,20,12,68,68.0
0.27124962593819518,k_A,4,6,21,12,67,67.0
0.28128731107773797,k_A,0,6,22,12,66,66.0
0.28409371111844567,k_A,6,14,23,12,65,65.0
0.29167895036793096,k_A,2,8,24,12,64,64.0
0.29187410466821057,k_A,16,18,25,12,63,63.0
0.30439246674231796,k_A,4,4,26,12,62,62.0
0.31458075414389541,k_A,18,4,27,12,61,61.0
0.31828185786586988,k_A,10,12,28,12,60,60.0
0.32688380840842346,k_A,10,6,29,12,59,59.0
0.33479154107086773,k_A,18,6,30,12,58,57.99999999999999
0.33591629161534964,k_A,16,16,31,12,57,56.99999999999999
0.34181564733294939,k_A,2,10,32,12,56,56.00000000000001
0.34580112755831371,k_B,6,12,32,13,55,55.00000000000001
0.35112814286706096,k_A,8,10,33,13,54,54.0
0.35861945546479096,k_A,4,8,34,13,53,53.0
0.35965715584187108,k_A,18,16,35,13,52,52.0
0.38269075646205286,k_A,12,0,36,13,51,51.0
0.38983595958017181,k_A,8,8,37,13,50,50.0
0.42441261890383297,k_A,2,0,38,13,49,49.0
0.43573697813229462,k_B,12,4,38,14,48,48.0
0.44380262407342458,k_Ax,2,8,37,14,49,49.0
0.45510141007471649,k_A,16,4,38,14,48,48.0
0.45677295641967558,k_Ax,8,16,37,14,49,49.0
0.46435865381061447,k_A,6,8,38,14,48,48.0
0.46474160817521393,k_A,12,18,39,14,47,47.0
0.46597966171052457,k_A,14,16,40,14,46,46.0
0.47749286463807833,k_Ax,14,4,39,14,47,47.0
0.48236195272470883,k_A,18,10,40,14,46,46.0
0.51338309496188361,k_A,4,0,41,14,45,45.0
0.5272914511685779,k_A,0,4,42,14,44,44.0
0.53111774989145566,k_Ax,14,12,41,14,45,45.0
0.5381369796931923,k_Bx,12,8,41,13,46,46.0
0.54432576818248379,k_A,0,10,42,13,45,45.0
0.54929175303757194,k_Ax,18,10,41,13,46,46.0
0.55197181311617494,k_A,10,14,42,13,45,45.0
0.55316655580966179,k_Ax,14,16,41,13,46,46.0
0.56112249160922034,k_B,2,8,41,14,45,45.0
0.56146325277753928,k_Ax,12,18,40,14,46,46.0
0.59678137972895495,k_Ax,2,0,39,14,47,47.0
0.6046947568177935,k_Ax,4,8,38,14,48,48.0
0.61125960325076112,k_A,16,8,39,14,47,47.0
0.62553378351833644,k_A,18,2,40,14,46,46.0
0.63684919496191739,k_Ax,16,4,39,14,47,47.0
0.64068185499518615,k_A,14,12,40,14,46,46.0
0.64929412133902753,k_Ax,14,6,39,14,47,47.0
0.65286470466926549,k_B,16,12,39,15,46,46.0
0.68261121967516158,k_Ax,6,0,38,15,47,47.0
0.70172455978727677,k_A,2,2,39,15,46,46.0
0.7156233563698734,k_Ax,0,4,38,15,47,47.0
0.74411910620228994,k_A,6,0,39,15,46,46.0
0.74846006035311985,k_A,4,12,40,15,45,45.0
0.75279723799464582,k_Ax,4,12,39,15,46,46.0
0.75383742526220576,k_Ax,18,16,38,15,47,47.0
0.75875376946731798,k_A,18,10,39,15,46,46.0
0.76463562463992196,k_A,4,10,40,15,45,45.0
0.78238398756717897,k_Ax,6,2,39,15,46,46.0
0.78942817406319798,k_B,10,8,39,16,45,45.0
0.80093497909263667,k_A,14,4,40,16,44,44.0
0.80697552085390079,k_Ax,4,10,39,16,45,45.0
0.83619090471508761,k_Ax,6,0,38,16,46,46.0
0.83926268212996158,k_A,8,14,39,16,45,45.0
0.87002658290289148,k_Ax,4,0,38,16,46,46.0
0.87118187795987578,k_A,18,16,39,16,45,45.0
0.87230744432352303,k_Ax,18,16,38,16,46,46.0
0.88480145667814369,k_A,6,4,39,16,45,45.0
0.88733556076472586,k_Ax,18,14,38,16,46,46.0
0.89379818792465482,k_Ax,0,10,37,16,47,47.0
0.90759083730189094,k_A,0,4,38,16,46,46.0
0.90880379202886674,k_Ax,16,16,37,16,47,47.0
0.90942994078024675,k_A,8,18,38,16,46,46.0
0.93006205513267015,k_A,18,0,39,16,45,45.0
0.93086374963562857,k_Ax,2,18,38,16,46,46.0
0.96794880115037707,k_A,2,0,39,16,45,45.0
0.99516526809757344,k_Ax,8,0,38,16,46,46.0
1.0292227318987104,k_A,4,0,39,16,45,45.0
1.0564415004342484,k_A,8,0,40,16,44,44.0
1.0615500616051752,k_Ax,18,10,39,16,45,45.0
1.0625874663327992,k_A,0,18,40,16,44,44.0
1.0702711898536916,k_Ax,6,8,39,16,45,45.0
1.0800782239740332,k_Ax,6,6,38,16,46,46.0
1.0934926382431127,k_Ax,2,4,37,16,47,47.0
1.1033025047289495,k_A,6,6,38,16,46,46.0
1.110940224851358,k_A,6,8,39,16,45,45.0
1.1154748313126175,k_A,4,12,40,16,44,44.0
1.1234046737894483,k_A,4,8,41,16,43,43.0
1.125935864411592,k_A,18,14,42,16,42,42.0
1.1498767940072452,k_Ax,12,0,41,16,43,43.0
1.1510741659105608,k_A,16,16,42,16,42,42.0
1.1549954664265785,k_Ax,12,12,41,16,43,43.0
1.196907925607015,k_B,0,0,41,17,42,42.0
1.1991412027149093,k_A,2,16,42,17,41,41.0
1.2269611153288691,k_A,10,0,43,17,40,40.0
1.2491515474123558,k_Ax,18,0,42,17,41,41.0
1.2505344184512313,k_A,14,16,43,17,40,40.0
1.252702264567954,k_Ax,2,16,42,17,41,41.0
1.2532964393669028,k_Ax,8,18,41,17,42,42.0
1.2795850675474236,k_A,12,0,42,17,41,41.0
1.2803505361769749,k_A,6,18,43,17,40,40.0
1.2806648552428095,k_Ax,14,18,42,17,41,41.0
1.2815603204551473,k_A,2,18,43,17,40,40.0
1.283440767281443,k_B,6,16,43,18,39,39.0
1.2882594598801604,k_A,2,12,44,18,38,38.0
1.291621288951899,k_Ax,2,14,43,18,39,39.0
1.3254947749694757,k_A,6,0,44,18,38,38.0
1.326472884786245,k_Ax,2,18,43,18,39,39.0
1.3358574941188377,k_A,12,6,44,18,38,38.0
1.3371826243641349,k_Ax,16,16,43,18,39,39.0
1.3407477404918755,k_A,0,14,44,18,38,38.0
1.350982598380589,k_Ax,6,6,43,18,39,39.0
1.3690617559311742,k_A,8,2,44,18,38,38.0
1.3732332356351324,k_A,12,12,45,18,37,37.0
1.3841122984364669,k_A,2,6,46,18,36,36.0
1.3958799805486637,k_Ax,18,4,45,18,37,37.0
1.3960137317654329,k_Ax,16,18,44,18,38,38.0
1.4509478426325666,k_Ax,2,0,43,18,39,39.0
1.4531838957469485,k_A,2,16,44,18,38,38.0
1.4577326453602271,k_Ax,4,12,43,18,39,39.0
1.4591547891364982,k_A,16,16,44,18,38,38.0
