Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.0096600287704264824,k_B,2,12,0,1,99,99.0
0.020880118472239761,k_A,14,10,1,1,98,98.0
0.041473772737011361,k_B,10,6,1,2,97,97.0
0.060578306105368268,k_A,18,6,2,2,96,96.0
0.087707989193401392,k_A,12,4,3,2,95,95.0
0.09620445645029109,k_A,14,12,4,2,94,94.0
0.13190771666426132,k_A,14,2,5,2,93,93.0
0.14553787991203579,k_A,4,10,6,2,92,92.0
0.18457633257659373,k_B,8,2,6,3,91,91.0
0.18947512949674317,k_A,0,16,7,3,90,90.0
0.21367909749348568,k_B,2,6,7,4,89,89.0
0.22336905095695081,k_A,8,12,8,4,88,88.0
0.24078710655152125,k_B,8,8,8,5,87,87.0
0.24818986619732941,k_A,4,14,9,5,86,86.0
0.25369835668019691,k_B,16,14,9,6,85,85.0
0.25877401664549626,k_Ax,0,16,8,6,86,86.0
0.26803410210557732,k_A,12,12,9,6,85,85.0
0.28241270128711182,k_A,2,10,10,6,84,84.0
0.31072329016260164,k_Ax,12,4,9,6,85,85.0
0.33053708672388354,k_Ax,18,6,8,6,86,86.0
0.36098638714358983,k_B,6,4,8,7,85,85.0
0.36173386309569494,k_B,12,18,8,8,84,84.0
0.37953899312530265,k_A,6,8,9,8,83,83.0
0.39638180936931311,k_A,12,8,10,8,82,82.0
0.40542073734163192,k_Ax,14,12,9,8,83,83.0
0.40753804671437815,k_A,2,18,10,8,82,82.0
0.4119508764586412,k_B,4,16,10,9,81,81.0
0.43081788613028799,k_A,2,8,11,9,80,80.0
0.45608059864433653,k_B,0,6,11,10,79,79.0
0.54283595226509329,k_B,2,0,11,11,78,78.0
0.55264716728255436,k_B,10,12,11,12,77,77.0
0.56500632592155842,k_A,16,10,12,12,76,76.0
0.58595152095575709,k_B,16,6,12,13,75,75.0
0.64306070205802901,k_B,14,0,12,14,74,74.0
0.68207424907377501,k_A,16,2,13,14,73,73.0
0.68500323814593822,k_B,16,16,13,15,72,72.0
0.68850258426252808,k_B,12,16,13,16,71,71.0
0.69223386093398642,k_A,10,16,14,16,70,70.0
0.71812560667421232,k_A,4,6,15,16,69,69.0
0.72413628087605897,k_B,14,14,15,17,68,68.0
0.73579198524090361,k_Bx,2,12,15,16,69,69.0
0.7405106598505079,k_B,2,16,15,17,68,68.0
0.74153186420339268,k_B,10,18,15,18,67,67.0
0.77258989969377478,k_B,10,4,15,19,66,66.0
0.77261275073643143,k_B,18,18,15,20,65,65.0
0.77568398586347054,k_B,14,16,15,21,64,64.0
0.77643851315264156,k_A,14,18,16,21,63,63.0
0.77680485312109604,k_A,16,18,17,21,62,62.0
0.8043155853195757,k_Bx,0,6,17,20,63,63.0
0.81703013676190017,k_Ax,14,10,16,20,64,64.0
0.87280952778992393,k_A,18,0,17,20,63,63.0
0.89681110305832745,k_A,12,6,18,20,62,62.0
0.93199842785192821,k_B,4,4,18,21,61,61.0
0.94106378119697798,k_B,14,12,18,22,60,60.0
0.94197345878602179,k_B,8,18,18,23,59,59.0
1.0951690033179151,k_A,0,0,19,23,58,57.99999999999999
1.1051239944249391,k_Ax,8,12,18,23,59,59.0
1.1129137172096362,k_B,0,14,18,24,58,57.99999999999999
1.1130815395489211,k_Ax,16,18,17,24,59,59.0
1.1162965802138138,k_Bx,12,16,17,23,60,60.0
1.126113397963554,k_Bx,10,12,17,22,61,61.0
1.1740991628844235,k_B,6,2,17,23,60,60.0
1.1883685910336885,k_A,12,10,18,23,59,59.0
1.2254953254707088,k_Bx,4,4,18,22,60,60.0
1.244875837007652,k_B,10,8,18,23,59,59.0
1.3128906358806631,k_A,12,0,19,23,58,57.99999999999999
1.3453814682689318,k_B,14,4,19,24,57,56.99999999999999
1.3825226905610535,k_B,4,4,19,25,56,56.00000000000001
1.3897967667816091,k_A,8,14,20,25,55,55.00000000000001
1.4081568389105523,k_B,18,8,20,26,54,54.0
1.4149704441284092,k_B,10,14,20,27,53,53.0
1.4429203939773263,k_B,6,6,20,28,52,52.0
1.4491986394785106,k_Bx,14,14,20,27,53,53.0
1.4593344433020885,k_Bx,14,12,20,26,54,54.0
1.4892219873079242,k_Bx,2,6,20,25,55,55.00000000000001
1.5073703951270905,k_A,0,10,21,25,54,54.0
1.5151937861860443,k_A,6,14,22,25,53,53.0
1.5165341557539775,k_B,6,18,22,26,52,52.0
1.5493777937401403,k_A,16,4,23,26,51,51.0
1.5819145463833448,k_A,18,4,24,26,50,50.0
1.583331567773363,k_Bx,6,18,24,25,51,51.0
1.607431289888904,k_B,0,8,24,26,50,50.0
1.6191564329260575,k_A,8,12,25,26,49,49.0
1.6248142342790721,k_A,0,16,26,26,48,48.0
1.6413491228239043,k_A,10,10,27,26,47,47.0
1.6677997778943323,k_A,14,6,28,26,46,46.0
1.6849685853999263,k_B,8,10,28,27,45,45.0
1.7448368452673673,k_B,0,2,28,28,44,44.0
1.7785510913504676,k_Ax,18,4,27,28,45,45.0
1.7927552779249947,k_B,0,12,27,29,44,44.0
1.810818012481348,k_A,6,10,28,29,43,43.0
1.8510984539855899,k_Bx,4,4,28,28,44,44.0
1.9020621299941647,k_B,10,2,28,29,43,43.0
1.9150538753978958,k_B,6,12,28,30,42,42.0
1.9187961756717486,k_Bx,14,16,28,29,43,43.0
1.9242617409396356,k_A,6,16,29,29,42,42.0
1.9262966689267993,k_B,4,18,29,30,41,41.0
1.9508434810425574,k_Bx,0,8,29,29,42,42.0
1.956194941837526,k_Bx,4,16,29,28,43,43.0
2.0261763338721588,k_Bx,14,0,29,27,44,44.0
2.0377344007716354,k_Ax,12,12,28,27,45,45.0
2.0519783392411357,k_Bx,0,12,28,26,46,46.0
2.0696153941430264,k_Ax,4,10,27,26,47,47.0
2.1141330426768441,k_A,18,2,28,26,46,46.0
2.1603871470801956,k_Ax,16,2,27,26,47,47.0
2.1768757444787967,k_Ax,10,10,26,26,48,48.0
2.1967479671428984,k_A,16,8,27,26,47,47.0
2.2227994801509561,k_Ax,14,6,26,26,48,48.0
2.2619616802569698,k_B,4,4,26,27,47,47.0
2.2839197787334182,k_Ax,6,8,25,27,48,48.0
2.3339097431655373,k_Bx,10,2,25,26,49,49.0
2.3358005643536672,k_Ax,2,18,24,26,50,50.0
2.3677502000045885,k_B,18,4,24,27,49,49.0
2.3751058322374132,k_A,12,14,25,27,48,48.0
2.3989462635687691,k_B,0,8,25,28,47,47.0
2.4035635623510836,k_B,8,16,25,29,46,46.0
2.4154260268056769,k_Ax,8,12,24,29,47,47.0
2.455769952025014,k_A,2,4,25,29,46,46.0
2.4565478890588563,k_Bx,12,18,25,28,47,47.0
2.4779199471595703,k_Ax,12,8,24,28,48,48.0
2.4801624900277486,k_B,2,18,24,29,47,47.0
2.5604838468811097,k_B,8,0,24,30,46,46.0
2.5812147577666349,k_A,14,8,25,30,45,45.0
2.6047498003781664,k_A,6,8,26,30,44,44.0
2.6245187805078234,k_Ax,0,10,25,30,45,45.0
2.6386968547050342,k_B,0,12,25,31,44,44.0
2.6408417184884838,k_Bx,4,18,25,30,45,45.0
2.6648649924630643,k_A,4,8,26,30,44,44.0
2.6949461552432994,k_A,8,6,27,30,43,43.0
2.7088695078396396,k_B,4,12,27,31,42,42.0
2.7134977789487946,k_A,12,16,28,31,41,41.0
2.7176292089451413,k_A,14,16,29,31,40,40.0
2.7209648336509935,k_B,18,16,29,32,39,39.0
2.7568818041717371,k_Bx,14,4,29,31,40,40.0
2.7717912332331895,k_B,18,10,29,32,39,39.0
2.8024657308843297,k_Ax,4,6,28,32,40,40.0
2.9789661069564621,k_Ax,0,0,27,32,41,41.0
2.9816917779842291,k_Bx,2,18,27,31,42,42.0
3.0723792997100889,k_A,6,0,28,31,41,41.0
3.0793966073394392,k_B,14,14,28,32,40,40.0
3.1028778434683359,k_Ax,4,8,27,32,41,41.0
3.1158562509675427,k_Bx,6,12,27,31,42,42.0
3.1169638284804462,k_A,12,18,28,31,41,41.0
3.129550060140065,k_B,6,12,28,32,40,40.0
3.1638513090756724,k_Ax,16,4,27,32,41,41.0
3.1678093028750762,k_Ax,12,16,26,32,42,42.0
3.169170998686615,k_Bx,8,18,26,31,43,43.0
3.1819011641710486,k_Bx,6,12,26,30,44,44.0
3.2126195051569315,k_A,2,6,27,30,43,43.0
3.2172906215012387,k_Ax,10,16,26,30,44,44.0
3.2494847552377002,k_A,0,6,27,30,43,43.0
3.2531080640799499,k_Bx,16,16,27,29,44,44.0
3.2824127164764665,k_Ax,8,6,26,29,45,45.0
3.4163071029076337,k_B,0,0,26,30,44,44.0
3.4391583131116858,k_Bx,8,8,26,29,45,45.0
3.4533157013349123,k_B,2,12,26,30,44,44.0
3.6004425376667504,k_Bx,0,0,26,29,45,45.0
3.6006162628199907,k_Bx,18,18,26,28,46,46.0
3.6094978002574605,k_B,2,14,26,29,45,45.0
3.6851901208188389,k_Ax,12,0,25,29,46,46.0
3.6904335629676268,k_Bx,8,16,25,28,47,47.0
3.7221233137050929,k_Ax,0,6,24,28,48,48.0
3.7584610740625357,k_Bx,10,4,24,27,49,49.0
3.7599419408851196,k_B,8,18,24,28,48,48.0
3.765874142116008,k_Bx,2,16,24,27,49,49.0
3.7667347344454232,k_Ax,14,18,23,27,50,50.0
3.8996106586342014,k_B,0,0,23,28,49,49.0
3.9072493921827882,k_Bx,14,14,23,27,50,50.0
4.0683342595215359,k_Bx,0,0,23,26,51,51.0
4.1373046571258625,k_A,14,0,24,26,50,50.0
4.1499070442205763,k_A,8,12,25,26,49,49.0
4.1706895985598109,k_Bx,10,8,25,25,50,50.0
4.203945303585229,k_A,16,4,26,25,49,49.0
4.2300424320917687,k_B,14,6,26,26,48,48.0
4.2846833864887168,k_B,4,2,26,27,47,47.0
4.3056713261115114,k_B,12,8,26,28,46,46.0
4.3127470974629967,k_B,18,14,26,29,45,45.0
4.3128039175130377,k_B,18,18,26,30,44,44.0
4.3137376916270629,k_A,14,18,27,30,43,43.0
4.3759520521147408,k_Bx,0,2,27,29,44,44.0
4.4377982003732788,k_A,0,2,28,29,43,43.0
4.4490039865393527,k_A,14,12,29,29,42,42.0
4.5141669140194045,k_Ax,18,0,28,29,43,43.0
4.6069579202642936,k_Ax,6,0,27,29,44,44.0
4.6493817905266202,k_A,0,4,28,29,43,43.0
4.7920816603750236,k_A,0,0,29,29,42,42.0
4.8654217300191576,k_B,12,0,29,30,41,41.0
4.8909053186712459,k_Bx,0,8,29,29,42,42.0
4.8942962318456313,k_B,16,16,29,30,41,41.0
4.9956847346744144,k_A,6,0,30,30,40,40.0
5.0195889373840084,k_B,4,8,30,31,39,39.0
5.0234634037128076,k_Ax,14,16,29,31,40,40.0
5.0248050880145652,k_Bx,8,18,29,30,41,41.0
5.0697591669098658,k_Ax,2,4,28,30,42,42.0
5.127520307564601,k_Bx,6,2,28,29,43,43.0
5.280445902367795,k_Ax,0,0,27,29,44,44.0
5.3220489986221562,k_B,2,4,27,30,43,43.0
5.3422778796297292,k_Ax,16,8,26,30,44,44.0
5.3734961078135806,k_A,4,6,27,30,43,43.0
5.3833686254594877,k_Bx,0,14,27,29,44,44.0
5.4777160968886749,k_B,4,0,27,30,43,43.0
5.5238262614355058,k_B,16,2,27,31,42,42.0
5.5458505652650318,k_Ax,14,8,26,31,43,43.0
5.5564394683417895,k_B,18,12,26,32,42,42.0
5.6182114411430488,k_B,2,2,26,33,41,41.0
5.6377602597848844,k_Ax,2,10,25,33,42,42.0
5.706835410226522,k_A,18,0,26,33,41,41.0
5.7269823254669889,k_B,0,10,26,34,40,40.0
5.779859577955353,k_B,12,2,26,35,39,39.0
5.8424569313107542,k_Bx,4,2,26,34,40,40.0
5.8583425774179867,k_Ax,16,10,25,34,41,41.0
5.9182852695537722,k_A,6,2,26,34,40,40.0
5.9218310254265187,k_Bx,18,16,26,33,41,41.0
5.9782717111564843,k_A,10,2,27,33,40,40.0
5.9859766705531179,k_Ax,0,16,26,33,41,41.0
5.9881076281491641,k_B,4,18,26,34,40,40.0
5.9900581477369901,k_A,6,18,27,34,39,39.0
6.0202741780543612,k_Bx,16,6,27,33,40,40.0
6.0440414658498227,k_Bx,12,8,27,32,41,41.0
6.1088447468635811,k_Bx,2,2,27,31,42,42.0
6.135784067666604,k_B,0,8,27,32,41,41.0
6.1433974919571153,k_Bx,16,14,27,31,42,42.0
6.145487869717849,k_B,2,18,27,32,41,41.0
6.1633577121032319,k_A,10,10,28,32,40,40.0
6.1828670933969399,k_B,2,10,28,33,39,39.0
6.1898133795996335,k_B,0,16,28,34,38,38.0
6.2008479261152569,k_Bx,18,12,28,33,39,39.0
6.2011187654094924,k_B,16,18,28,34,38,38.0
6.2143473294670057,k_A,10,12,29,34,37,37.0
6.2230322283460398,k_Bx,10,14,29,33,38,38.0
6.2238961839676907,k_Bx,10,18,29,32,39,39.0
6.2291459216115417,k_A,8,16,30,32,38,38.0
6.240735826590468,k_B,16,12,30,33,37,37.0
6.2424379407994746,k_A,8,18,31,33,36,36.0
6.2634921788810782,k_B,16,8,31,34,35,35.0
6.2998717971878069,k_A,0,6,32,34,34,34.0
6.302205671070106,k_B,0,18,32,35,33,33.0
6.3061270512927052,k_B,12,16,32,36,32,32.0
6.3102888960135708,k_Bx,12,16,32,35,33,33.0
6.3196423395030106,k_Ax,8,14,31,35,34,34.0
6.3239148584800962,k_A,12,16,32,35,33,33.0
6.3437352029204126,k_B,4,10,32,36,32,32.0
6.3455399113264557,k_Ax,6,18,31,36,33,33.0
6.3478593245749639,k_Bx,4,18,31,35,34,34.0
6.3633310620672932,k_Bx,4,12,31,34,35,35.0
6.3956034855935009,k_Bx,10,6,31,33,36,36.0
