Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,50,100.0
0.0070120656511426238,k_B,2,16,0,1,49,98.0
0.036040793779180486,k_A,8,8,1,1,48,96.0
0.071605088998775407,k_A,0,8,2,1,47,94.0
0.13936581514789631,k_A,8,2,3,1,46,92.0
0.29291646662236659,k_A,2,0,4,1,45,90.0
0.36925248591285692,k_A,6,2,5,1,44,88.0
0.39023579974300981,k_A,2,12,6,1,43,86.0
0.42768309684770794,k_A,2,8,7,1,42,84.0
0.44616925876524072,k_B,6,12,7,2,41,82.0
0.46919973858030339,k_B,8,10,7,3,40,80.0
0.4869755214252578,k_B,8,12,7,4,39,78.0
0.49137866214965259,k_B,0,18,7,5,38,76.0
0.61280152724596704,k_B,6,0,7,6,37,74.0
0.66241576181136286,k_B,2,6,7,7,36,72.0
0.71887606793979675,k_B,8,4,7,8,35,70.0
0.84519893274834712,k_Bx,6,0,7,7,36,72.0
0.87772579385601657,k_A,0,10,8,7,35,70.0
0.90700506493923738,k_A,4,10,9,7,34,68.0
1.0821029027420275,k_Ax,2,0,8,7,35,70.0
1.1852331066637154,k_B,8,0,8,8,34,68.0
1.3003450477177056,k_B,6,0,8,9,33,66.0
1.340697725173196,k_Ax,2,8,7,9,34,68.0
1.4217333806921237,k_Ax,8,2,6,9,35,70.0
1.4486952753694624,k_A,6,10,7,9,34,68.0
1.5086973487213526,k_A,6,4,8,9,33,66.0
1.6203744246794971,k_A,0,2,9,9,32,64.0
1.6420977272464388,k_Bx,6,12,9,8,33,66.0
1.6717663399042273,k_Ax,4,10,8,8,34,68.0
1.6763776441736045,k_A,2,18,9,8,33,66.0
1.7176702767957384,k_B,2,8,9,9,32,64.0
1.7435171543909913,k_B,0,12,9,10,31,62.0
1.7952465071462509,k_B,4,6,9,11,30,60.0
1.8150628241784059,k_A,0,14,10,11,29,57.99999999999999
1.944784630334796,k_Bx,6,0,10,10,30,60.0
1.9671736490996603,k_A,6,12,11,10,29,57.99999999999999
1.9727750376731379,k_B,8,16,11,11,28,56.00000000000001
1.9855683054746347,k_A,8,14,12,11,27,54.0
1.9856269772039528,k_B,8,18,12,12,26,52.0
2.0023133454741755,k_B,2,14,12,13,25,50.0
2.0136441456542222,k_A,0,16,13,13,24,48.0
2.1262450307961336,k_Ax,0,2,12,13,25,50.0
2.2467814930223118,k_B,6,0,12,14,24,48.0
2.2509803151383436,k_Ax,2,18,11,14,25,50.0
2.2825496863659192,k_A,2,10,12,14,24,48.0
2.2928782958958429,k_A,4,16,13,14,23,46.0
2.3249555443890735,k_Ax,0,10,12,14,24,48.0
2.3427647723419156,k_Ax,0,14,11,14,25,50.0
2.4313481695385031,k_Ax,6,2,10,14,26,52.0
2.478399170680615,k_B,6,6,10,15,25,50.0
2.4918232893230181,k_A,6,14,11,15,24,48.0
2.6460979780328939,k_A,4,0,12,15,23,46.0
2.6472779138514042,k_B,6,18,12,16,22,44.0
2.6586855460046501,k_Ax,8,14,11,16,23,46.0
2.6731146962254226,k_B,4,14,11,17,22,44.0
2.6909006838448075,k_A,0,14,12,17,21,42.0
2.7084691293637246,k_Bx,8,12,12,16,22,44.0
2.7109585026478698,k_A,4,18,13,16,21,42.0
2.8133719917100488,k_A,4,2,14,16,20,40.0
2.9136374960666647,k_A,6,2,15,16,19,38.0
2.937139637094659,k_Ax,2,12,14,16,20,40.0
3.32142391339154,k_A,0,0,15,16,19,38.0
3.5213386038279495,k_B,2,0,15,17,18,36.0
3.5592503202252579,k_A,0,10,16,17,17,34.0
3.6200211037697954,k_Bx,4,6,16,16,18,36.0
3.6393045211857835,k_A,8,12,17,16,17,34.0
3.6845636391873993,k_A,4,8,18,16,16,32.0
3.8184795198878603,k_A,2,2,19,16,15,30.0
3.9241681299768456,k_B,8,2,19,17,14,28.000000000000004
3.9251510769859257,k_Bx,6,18,19,16,15,30.0
3.9926697840253067,k_Bx,2,6,19,15,16,32.0
4.0710813045019369,k_Bx,8,4,19,14,17,34.0
4.1014103938129862,k_Bx,8,10,19,13,18,36.0
4.1157613122695045,k_A,8,14,20,13,17,34.0
4.1379892171214578,k_B,4,12,20,14,16,32.0
4.2288670357714855,k_B,2,4,20,15,15,30.0
4.2815178678560013,k_B,8,6,20,16,14,28.000000000000004
4.293262419973698,k_Ax,4,16,19,16,15,30.0
4.3185928659502775,k_Bx,4,12,19,15,16,32.0
4.3501375126015995,k_B,8,10,19,16,15,30.0
4.5608429776268542,k_Ax,4,0,18,16,16,32.0
4.5941122795940359,k_Ax,6,10,17,16,17,34.0
4.6136203000316458,k_Ax,0,14,16,16,18,36.0
4.6406676354744398,k_A,2,12,17,16,17,34.0
4.7377360666922073,k_B,0,4,17,17,16,32.0
4.7612909184565257,k_Ax,6,12,16,17,17,34.0
4.8687377802331646,k_Bx,8,2,16,16,18,36.0
4.8902725556532154,k_Ax,8,12,15,16,19,38.0
4.9336155380888753,k_B,6,8,15,17,18,36.0
4.9451384261207041,k_Bx,2,16,15,16,19,38.0
5.0305838744612412,k_A,4,4,16,16,18,36.0
5.0667775087574949,k_A,6,10,17,16,17,34.0
5.072937132235988,k_Bx,0,18,17,15,18,36.0
5.0857877105724949,k_B,2,16,17,16,17,34.0
5.1149129025568154,k_B,4,12,17,17,16,32.0
5.1374458097879643,k_A,0,14,18,17,15,30.0
5.1413280685747473,k_Ax,4,18,17,17,16,32.0
5.205231892065183,k_B,2,6,17,18,15,30.0
5.2461687378409012,k_A,4,10,18,18,14,28.000000000000004
5.2537740944711668,k_B,0,18,18,19,13,26.0
5.277406560728199,k_Ax,0,14,17,19,14,28.000000000000004
5.3470886531699424,k_B,0,6,17,20,13,26.0
5.3729239555032384,k_B,8,12,17,21,12,24.0
5.3921839830405895,k_Ax,6,14,16,21,13,26.0
5.5096475369041347,k_Ax,4,2,15,21,14,28.000000000000004
5.6418263039103849,k_B,0,2,15,22,13,26.0
5.7378275888551009,k_Bx,0,4,15,21,14,28.000000000000004
5.7783592071933629,k_Ax,4,10,14,21,15,30.0
5.857276856859194,k_Ax,6,4,13,21,16,32.0
5.870146899903486,k_A,4,16,14,21,15,30.0
5.9249197081043707,k_Bx,8,6,14,20,16,32.0
5.9853481588002007,k_B,4,6,14,21,15,30.0
6.1252631166026861,k_Bx,0,2,14,20,16,32.0
6.2785983709471438,k_Bx,8,0,14,19,17,34.0
6.2863246263686179,k_Bx,8,16,14,18,18,36.0
6.3008700817545957,k_Ax,0,16,13,18,19,38.0
6.3042483750375009,k_B,4,18,13,19,18,36.0
6.4600588996488426,k_Bx,6,0,13,18,19,38.0
6.4878157885285654,k_Ax,2,12,12,18,20,40.0
6.5215022360413295,k_B,4,10,12,19,19,38.0
6.5802357472406046,k_Bx,0,6,12,18,20,40.0
6.6195646518858817,k_Ax,8,8,11,18,21,42.0
6.6689774351833258,k_A,8,6,12,18,20,40.0
6.6995751418856875,k_Bx,8,10,12,17,21,42.0
6.7046757103426708,k_Bx,0,18,12,16,22,44.0
6.7307451133398839,k_B,2,12,12,17,21,42.0
6.9418651963228886,k_Bx,2,0,12,16,22,44.0
6.951789383311386,k_A,6,16,13,16,21,42.0
7.0334309794170595,k_B,8,2,13,17,20,40.0
7.0511425972237509,k_Bx,4,14,13,16,21,42.0
7.0518687122832739,k_Bx,8,18,13,15,22,44.0
7.0545500773723147,k_A,6,18,14,15,21,42.0
7.0560338534745268,k_A,8,18,15,15,20,40.0
7.1344689953714147,k_B,0,4,15,16,19,38.0
7.1504864048750312,k_A,6,14,16,16,18,36.0
7.1947000415049605,k_Bx,6,8,16,15,19,38.0
7.2458462195506081,k_Ax,8,6,15,15,20,40.0
7.2780179769557751,k_Bx,4,10,15,14,21,42.0
7.316245242439642,k_A,8,8,16,14,20,40.0
7.5527781771144795,k_A,2,0,17,14,19,38.0
7.754858815626763,k_A,4,0,18,14,18,36.0
7.7627742046330006,k_A,8,16,19,14,17,34.0
