Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.19206671295729788,k_A,14,2,1,0,99,99.0
0.26970494331194522,k_A,12,6,2,0,98,98.0
0.42977963895098292,k_Ax,14,2,1,0,99,99.0
0.52097163500748955,k_AB,12,6,0,1,99,99.0
0.60940731757063893,k_A,16,6,1,1,98,98.0
0.63869655255744795,k_A,12,12,2,1,97,97.0
0.64585517367694201,k_A,16,16,3,1,96,96.0
0.68545353211338822,k_Ax,12,12,2,1,97,97.0
0.73977219743792344,k_A,16,8,3,1,96,96.0
0.76106679632867391,k_A,12,14,4,1,95,95.0
0.82461004393619319,k_A,4,8,5,1,94,94.0
0.97324044164557844,k_A,12,2,6,1,93,93.0
0.9971823494544555,k_A,6,12,7,1,92,92.0
1.0037917612406242,k_Ax,16,16,6,1,93,93.0
1.0134272719771227,k_AB,12,14,5,2,93,93.0
1.0265504574755882,k_A,0,14,6,2,92,92.0
1.1110007367353352,k_A,18,4,7,2,91,91.0
1.1561553295853677,k_A,0,8,8,2,90,90.0
1.1571058807589036,k_A,10,18,9,2,89,89.0
1.1621625731320933,k_A,18,16,10,2,88,88.0
1.1963524285435685,k_AB,4,8,9,3,88,88.0
1.2096178504201502,k_A,2,14,10,3,87,87.0
1.2839872097556524,k_Ax,18,4,9,3,88,88.0
1.3885316852700589,k_AB,12,2,8,4,88,88.0
1.4163421483114476,k_Ax,6,12,7,4,89,89.0
1.498359205485811,k_A,10,6,8,4,88,88.0
1.531422422513063,k_Ax,16,8,7,4,89,89.0
1.5409735333919194,k_A,16,16,8,4,88,88.0
1.562837856516921,k_Ax,2,14,7,4,89,89.0
1.5882405987620631,k_Ax,0,14,6,4,90,90.0
1.6086509659910748,k_Bx,12,14,6,3,91,91.0
1.6932771035931315,k_Ax,10,6,5,3,92,92.0
1.7244364252411226,k_A,6,12,6,3,91,91.0
1.7337573140384335,k_Ax,18,16,5,3,92,92.0
1.7403903708547193,k_A,6,18,6,3,91,91.0
1.746628704718677,k_AB,6,18,5,4,91,91.0
1.8225486779257518,k_A,14,6,6,4,90,90.0
1.8946428834596598,k_Ax,14,6,5,4,91,91.0
1.9292588465618588,k_A,16,10,6,4,90,90.0
1.9489285956005102,k_A,16,12,7,4,89,89.0
2.0592229985059469,k_A,14,2,8,4,88,88.0
2.0736138283548078,k_A,0,14,9,4,87,87.0
2.1811191781277581,k_Bx,12,2,9,3,88,88.0
2.2130036893040597,k_Ax,16,10,8,3,89,89.0
2.2420617478953684,k_Ax,6,12,7,3,90,90.0
2.2715897089646564,k_A,12,12,8,3,89,89.0
2.2821233379968069,k_Ax,16,16,7,3,90,90.0
2.294936418625777,k_A,2,14,8,3,89,89.0
2.3264668586766102,k_A,8,12,9,3,88,88.0
2.3402205195181511,k_AB,0,14,8,4,88,88.0
2.3451896086116828,k_Bx,6,18,8,3,89,89.0
2.3931872374125023,k_AB,0,8,7,4,89,89.0
2.5731001605763288,k_A,10,0,8,4,88,88.0
2.6708515266169983,k_A,8,2,9,4,87,87.0
2.7245163482679375,k_A,2,6,10,4,86,86.0
2.7446641982220079,k_AB,8,12,9,5,86,86.0
2.7747174857297749,k_Bx,4,8,9,4,87,87.0
2.7820810899831629,k_A,10,14,10,4,86,86.0
2.7866493304021756,k_A,12,16,11,4,85,85.0
2.8658267774777237,k_AB,8,2,10,5,85,85.0
2.9045531631925896,k_AB,16,6,9,6,85,85.0
2.9834210702183679,k_Ax,14,2,8,6,86,86.0
3.0044793601852491,k_AB,16,12,7,7,86,86.0
3.0183501311077947,k_Ax,10,14,6,7,87,87.0
3.0562533573718218,k_A,0,10,7,7,86,86.0
3.0673431044957034,k_A,10,14,8,7,85,85.0
3.1079812103471975,k_A,10,8,9,7,84,84.0
3.1299726133267214,k_Ax,12,12,8,7,85,85.0
3.1539363067650292,k_Bx,8,12,8,6,86,86.0
3.1710276861993645,k_Ax,2,14,7,6,87,87.0
3.1772787386396253,k_AB,12,16,6,7,87,87.0
3.2849415228382868,k_A,0,2,7,7,86,86.0
3.3363972124882642,k_AB,2,6,6,8,86,86.0
3.3553932191246241,k_Bx,16,12,6,7,87,87.0
3.4499540834208129,k_AB,0,2,5,8,87,87.0
3.4619361489128315,k_AB,10,14,4,9,87,87.0
3.4916748075036734,k_Ax,0,10,3,9,88,88.0
3.613997428965952,k_A,14,0,4,9,87,87.0
3.634978981103858,k_A,2,12,5,9,86,86.0
3.6946328001570734,k_A,10,4,6,9,85,85.0
3.6997504427583054,k_A,16,16,7,9,84,84.0
3.7208862215866199,k_Ax,2,12,6,9,85,85.0
3.7379048057221955,k_Bx,0,14,6,8,86,86.0
3.7430458654923515,k_A,18,16,7,8,85,85.0
3.8237201901044018,k_Bx,0,2,7,7,86,86.0
3.8330551901489498,k_AB,16,16,6,8,86,86.0
3.847767431076841,k_A,14,14,7,8,85,85.0
3.8896515627816433,k_Bx,12,6,7,7,86,86.0
3.9141241242533642,k_A,18,10,8,7,85,85.0
3.9657787676921359,k_A,16,4,9,7,84,84.0
4.0806797672905928,k_AB,10,0,8,8,84,84.0
4.0844924136722991,k_A,0,18,9,8,83,83.0
4.177560431972771,k_AB,14,0,8,9,83,83.0
4.242703230074337,k_AB,10,4,7,10,83,83.0
4.3064170421925621,k_Ax,16,4,6,10,84,84.0
4.3960777768256349,k_Bx,8,2,6,9,85,85.0
4.4250294208678698,k_A,2,12,7,9,84,84.0
4.4314997370093243,k_Ax,0,18,6,9,85,85.0
4.4700451187062198,k_A,0,10,7,9,84,84.0
4.4905821982310936,k_A,6,12,8,9,83,83.0
4.4942203854842457,k_A,0,18,9,9,82,82.0
4.5049509547486952,k_A,10,16,10,9,81,81.0
