Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.0018963093670150894,k_A,14,16,1,0,99,99.0
0.01150830822565274,k_A,4,10,2,0,98,98.0
0.018503083662572209,k_A,4,12,3,0,97,97.0
0.025615317936934948,k_A,2,12,4,0,96,96.0
0.029162972727412868,k_A,16,14,5,0,95,95.0
0.040603830339393618,k_A,12,8,6,0,94,94.0
0.044055741755502482,k_AB,16,14,5,1,94,94.0
0.06010105702865827,k_A,6,6,6,1,93,93.0
0.061801512373392223,k_A,16,16,7,1,92,92.0
0.079457023303667426,k_A,0,6,8,1,91,91.0
0.081209099847913219,k_AB,16,16,7,2,91,91.0
0.085929215055474906,k_A,4,14,8,2,90,90.0
0.093347296132963206,k_A,0,12,9,2,89,89.0
0.10056587812831123,k_Ax,2,12,8,2,90,90.0
0.10284220071158935,k_A,10,16,9,2,89,89.0
0.13081023380045276,k_A,8,2,10,2,88,88.0
0.14049217638675984,k_A,2,10,11,2,87,87.0
0.16245929353676003,k_A,4,4,12,2,86,86.0
0.16499593217527828,k_A,6,16,13,2,85,85.0
0.17073095147887607,k_A,14,12,14,2,84,84.0
0.17591748146534644,k_A,18,12,15,2,83,83.0
0.17802344129013312,k_A,12,16,16,2,82,82.0
0.18265467330163718,k_AB,4,14,15,3,82,82.0
0.18710182015221899,k_A,6,14,16,3,81,81.0
0.19216343222835672,k_A,0,14,17,3,80,80.0
0.1951677828839273,k_A,2,16,18,3,79,79.0
0.20441815979357278,k_AB,4,10,17,4,79,79.0
0.24827176355670438,k_A,8,0,18,4,78,78.0
0.25072614588031622,k_A,8,16,19,4,77,77.0
0.25245470992286739,k_Bx,16,16,19,3,78,78.0
0.25371080182792177,k_A,2,18,20,3,77,77.0
0.25799284953608376,k_A,8,14,21,3,76,76.0
0.26013994865406304,k_Ax,12,16,20,3,77,77.0
0.26667078785009068,k_A,6,12,21,3,76,76.0
0.29931218674046411,k_A,0,2,22,3,75,75.0
0.32485874044261143,k_A,12,2,23,3,74,74.0
0.33192253543651529,k_A,2,12,24,3,73,73.0
0.34163237241722405,k_AB,2,10,23,4,73,73.0
0.35050065943564412,k_A,8,10,24,4,72,72.0
0.351051405548578,k_A,12,18,25,4,71,71.0
0.35943114291347722,k_A,12,10,26,4,70,70.0
0.36168598152725678,k_AB,10,16,25,5,70,70.0
0.36290517292646246,k_AB,2,18,24,6,70,70.0
0.37713146059727343,k_A,14,6,25,6,69,69.0
0.38171968887367336,k_Bx,4,14,25,5,70,70.0
0.3888043414551966,k_AB,2,12,24,6,70,70.0
0.3889608143000029,k_A,16,18,25,6,69,69.0
0.41817981850387037,k_A,6,2,26,6,68,68.0
0.42726907639061235,k_A,6,10,27,6,67,67.0
0.43095867545282807,k_A,14,14,28,6,66,66.0
0.46714496635143121,k_A,16,0,29,6,65,65.0
0.48554323913017355,k_A,14,4,30,6,64,64.0
0.51464575708840921,k_A,4,2,31,6,63,63.0
0.5217151243741619,k_AB,0,12,30,7,63,63.0
0.55119053665732765,k_AB,4,2,29,8,63,63.0
0.571065179141657,k_A,8,4,30,8,62,62.0
0.59116641174619544,k_AB,8,4,29,9,62,62.0
0.61903706421443538,k_Ax,8,2,28,9,63,63.0
0.6206074973217689,k_A,18,16,29,9,62,62.0
0.6262570419111908,k_AB,14,12,28,10,62,62.0
0.70044070850058726,k_A,0,0,29,10,61,61.0
0.72237185930006731,k_A,2,4,30,10,60,60.0
0.72964818627239736,k_Bx,0,12,30,9,61,61.0
0.74829243267332057,k_A,12,4,31,9,60,60.0
0.75114067830093534,k_AB,2,16,30,10,60,60.0
0.76684690717546777,k_A,4,6,31,10,59,59.0
0.80757826192633642,k_A,10,0,32,10,58,57.99999999999999
0.82079704454876246,k_A,16,6,33,10,57,56.99999999999999
0.85396005084173221,k_A,18,0,34,10,56,56.00000000000001
0.87793799721412547,k_A,16,2,35,10,55,55.00000000000001
0.89542242062110011,k_A,16,4,36,10,54,54.0
0.90672187089495759,k_A,8,8,37,10,53,53.0
0.92755353268661489,k_AB,4,4,36,11,53,53.0
0.93131981477417025,k_A,12,14,37,11,52,52.0
0.95713045412810349,k_A,10,2,38,11,51,51.0
0.96278042396999608,k_A,12,12,39,11,50,50.0
0.96447034134790899,k_A,16,16,40,11,49,49.0
0.96881064945933204,k_AB,6,14,39,12,49,49.0
1.000230264586718,k_AB,0,2,38,13,49,49.0
1.0035470786977143,k_Bx,16,14,38,12,50,50.0
1.0392349900018525,k_A,14,0,39,12,49,49.0
1.0547244732875014,k_AB,4,6,38,13,49,49.0
1.0558163879332547,k_A,4,18,39,13,48,48.0
1.083919341642003,k_AB,6,2,38,14,48,48.0
1.0947576206318641,k_AB,12,8,37,15,48,48.0
1.1005734083385752,k_AB,12,12,36,16,48,48.0
1.1009981485457383,k_A,14,18,37,16,47,47.0
1.1176175741454382,k_AB,0,6,36,17,47,47.0
1.1433096695493805,k_AB,10,2,35,18,47,47.0
1.1546328033254583,k_AB,8,8,34,19,47,47.0
1.193240614923069,k_A,12,0,35,19,46,46.0
1.2213380276833263,k_Bx,6,2,35,18,47,47.0
1.2490553794128021,k_A,6,2,36,18,46,46.0
1.3224426337074124,k_AB,0,0,35,19,46,46.0
1.3319912307139767,k_Bx,2,10,35,18,47,47.0
1.3354240914292357,k_A,16,14,36,18,46,46.0
1.3405277394979911,k_AB,18,12,35,19,46,46.0
1.3450473125989746,k_Bx,6,14,35,18,47,47.0
1.3634907347420484,k_AB,12,4,34,19,47,47.0
1.3698912615990813,k_AB,6,12,33,20,47,47.0
1.3757545203765407,k_Bx,12,12,33,19,48,48.0
1.3844997648060584,k_Ax,8,10,32,19,49,49.0
1.4116938661557004,k_A,8,2,33,19,48,48.0
1.422330612106556,k_A,14,8,34,19,47,47.0
1.431410367913396,k_Bx,4,10,34,18,48,48.0
1.4519275627504844,k_Bx,4,4,34,17,49,49.0
1.4541356398187208,k_Bx,10,16,34,16,50,50.0
1.4626462883537961,k_A,8,10,35,16,49,49.0
1.4931208984683793,k_A,2,2,36,16,48,48.0
1.5067112565619312,k_AB,14,6,35,17,48,48.0
1.5276815535024864,k_A,4,4,36,17,47,47.0
1.5329128562407259,k_Bx,18,12,36,16,48,48.0
1.5652316469716494,k_AB,18,0,35,17,48,48.0
1.5655374732318024,k_AB,14,18,34,18,48,48.0
1.5810118728770983,k_Ax,6,6,33,18,49,49.0
1.6042383015468475,k_AB,16,2,32,19,49,49.0
1.6129637010813977,k_AB,8,10,31,20,49,49.0
1.6402108748181852,k_AB,8,2,30,21,49,49.0
1.646343446456535,k_A,10,12,31,21,48,48.0
1.6552027135355594,k_AB,6,10,30,22,48,48.0
1.6640148267241999,k_Bx,8,10,30,21,49,49.0
1.674871023752375,k_Bx,12,8,30,20,50,50.0
1.7114087594373397,k_AB,14,0,29,21,50,50.0
1.7160062552230968,k_A,4,14,30,21,49,49.0
1.71717533233643,k_AB,4,18,29,22,49,49.0
1.7353207909558419,k_AB,14,4,28,23,49,49.0
1.7383192724241687,k_Bx,2,16,28,22,50,50.0
1.7698869355775964,k_Bx,0,2,28,21,51,51.0
1.7725263151429118,k_AB,6,16,27,22,51,51.0
1.7752851979936548,k_A,4,16,28,22,50,50.0
1.7756168663575773,k_Bx,14,18,28,21,51,51.0
1.7817503074162464,k_AB,10,12,27,22,51,51.0
1.7913229269921644,k_A,2,10,28,22,50,50.0
1.815353380440017,k_Bx,16,2,28,21,51,51.0
1.838372886699025,k_A,18,2,29,21,50,50.0
1.8570405297289607,k_Bx,12,4,29,20,51,51.0
1.8606622635881171,k_AB,14,14,28,21,51,51.0
1.8659311104868086,k_A,18,12,29,21,50,50.0
1.910628493302853,k_AB,8,0,28,22,50,50.0
1.9311062839757205,k_A,6,4,29,22,49,49.0
1.9408578195584187,k_A,0,10,30,22,48,48.0
1.9442620947707783,k_AB,16,14,29,23,48,48.0
1.9457554976901865,k_AB,18,16,28,24,48,48.0
1.9487980186102878,k_A,0,16,29,24,47,47.0
1.9604390811624908,k_Bx,8,8,29,23,48,48.0
1.9667214350822233,k_A,8,12,30,23,47,47.0
1.9687324703390154,k_A,12,16,31,23,46,46.0
2.004889485084314,k_Bx,14,0,31,22,47,47.0
2.0136998896917246,k_Bx,6,10,31,21,48,48.0
2.023721162532738,k_A,18,8,32,21,47,47.0
2.0993690382732018,k_Bx,0,0,32,20,48,48.0
2.1015882786567603,k_A,10,16,33,20,47,47.0
2.1059032316222148,k_A,6,14,34,20,46,46.0
2.117151162460841,k_A,10,8,35,20,45,45.0
2.1357261719666032,k_A,12,4,36,20,44,44.0
2.1451210189205767,k_AB,2,10,35,21,44,44.0
2.1558781326354843,k_A,12,8,36,21,43,43.0
2.159997438338559,k_AB,8,14,35,22,43,43.0
2.1660270058280058,k_Bx,10,12,35,21,44,44.0
2.1734468864494145,k_A,18,10,36,21,43,43.0
2.1835122431102736,k_Ax,18,8,35,21,44,44.0
2.1898322321391901,k_AB,8,12,34,22,44,44.0
2.2206441137244624,k_AB,2,2,33,23,44,44.0
2.2219697458077672,k_A,0,18,34,23,43,43.0
2.2246887288876249,k_AB,4,16,33,24,43,43.0
2.2329848262094725,k_A,10,10,34,24,42,42.0
2.2382797659889211,k_AB,18,12,33,25,42,42.0
2.2677609606328004,k_Bx,4,2,33,24,43,43.0
2.270718858660385,k_A,2,16,34,24,42,42.0
2.2823175281451067,k_A,8,8,35,24,41,41.0
2.2998907881426964,k_AB,16,4,34,25,41,41.0
2.3003401852232632,k_AB,12,18,33,26,41,41.0
2.339210831048474,k_AB,12,0,32,27,41,41.0
2.3403394709752234,k_Bx,4,18,32,26,42,42.0
2.3452571434238862,k_AB,0,14,31,27,42,42.0
2.3519792924600278,k_AB,4,12,30,28,42,42.0
2.3764032814958678,k_A,16,2,31,28,41,41.0
2.3788937242815469,k_AB,8,16,30,29,41,41.0
2.3988803766218818,k_Bx,8,4,30,28,42,42.0
2.4013208142653477,k_Bx,8,16,30,27,43,43.0
2.4020474298000365,k_A,8,18,31,27,42,42.0
2.4663993303894078,k_A,2,0,32,27,41,41.0
2.4823220623079556,k_Bx,4,6,32,26,42,42.0
2.5650995905812066,k_A,0,0,33,26,41,41.0
2.5682410912601639,k_AB,0,16,32,27,41,41.0
2.5824218089811457,k_A,12,6,33,27,40,40.0
2.597439154966489,k_A,8,6,34,27,39,39.0
2.6032985027800977,k_A,10,12,35,27,38,38.0
2.6289581711607877,k_AB,12,2,34,28,38,38.0
2.6355372144456957,k_Bx,4,12,34,27,39,39.0
2.6369891932417819,k_AB,0,18,33,28,39,39.0
2.7043461142861269,k_AB,0,0,32,29,39,39.0
2.7049223358064878,k_A,10,18,33,29,38,38.0
2.7275062773448728,k_A,0,4,34,29,37,37.0
2.73036863335739,k_AB,2,16,33,30,37,37.0
2.7323388587850643,k_Ax,14,16,32,30,38,38.0
2.7352674257356231,k_Bx,2,16,32,29,39,39.0
2.7500722460818121,k_A,10,6,33,29,38,38.0
2.7797597378780532,k_A,4,2,34,29,37,37.0
2.7825623601552572,k_A,2,16,35,29,36,36.0
2.8053582858088002,k_AB,18,2,34,30,36,36.0
2.8400365304312212,k_AB,16,0,33,31,36,36.0
2.8435698224556258,k_Bx,14,14,33,30,37,37.0
2.8516651769721082,k_AB,12,10,32,31,37,37.0
2.8642853084449786,k_A,0,8,33,31,36,36.0
2.8649238577460245,k_AB,10,18,32,32,36,36.0
2.8670186131283582,k_AB,12,16,31,33,36,36.0
2.8729835025157895,k_AB,10,12,30,34,36,36.0
2.8871146475205127,k_AB,12,6,29,35,36,36.0
2.8967510997148667,k_AB,0,10,28,36,36,36.0
2.906856776688342,k_A,16,8,29,36,35,35.0
2.9199732400526517,k_A,18,6,30,36,34,34.0
2.9271169958451186,k_AB,18,10,29,37,34,34.0
2.9313724608784666,k_AB,6,14,28,38,34,34.0
2.9435825048696045,k_A,2,8,29,38,33,33.0
2.9593995097549821,k_A,4,6,30,38,32,32.0
2.9711557184333182,k_A,6,8,31,38,31,31.0
2.9757060650944802,k_AB,4,14,30,39,31,31.0
2.9824490197311975,k_Bx,2,12,30,38,32,32.0
2.9959160184303899,k_AB,16,6,29,39,32,32.0
2.9966263821255148,k_Bx,10,18,29,38,33,33.0
2.9982450484769849,k_Bx,18,16,29,37,34,34.0
3.0119451665955541,k_Bx,14,6,29,36,35,35.0
3.0184233251860317,k_A,4,12,30,36,34,34.0
3.0287201401612869,k_AB,14,8,29,37,34,34.0
3.0404270552664014,k_AB,6,8,28,38,34,34.0
3.0514145634151362,k_AB,10,8,27,39,34,34.0
3.0558045517638028,k_Bx,6,14,27,38,35,35.0
3.0584293663581961,k_Bx,6,16,27,37,36,36.0
3.0676271594767961,k_Bx,2,10,27,36,37,37.0
3.1020354144621081,k_Bx,16,0,27,35,38,38.0
3.1140138109025615,k_A,4,8,28,35,37,37.0
3.1345481895604692,k_AB,6,4,27,36,37,37.0
3.1473010643582411,k_AB,0,8,26,37,37,37.0
3.1511842253245956,k_Ax,12,14,25,37,38,38.0
3.1524039409588993,k_Bx,2,18,25,36,39,39.0
3.1824517832209627,k_AB,4,2,24,37,39,39.0
3.1891187283965001,k_AB,4,12,23,38,39,39.0
3.1993044769392323,k_AB,16,8,22,39,39,39.0
3.2120570443896947,k_Bx,0,8,22,38,40,40.0
3.2156957829021975,k_A,14,14,23,38,39,39.0
3.2278837124268924,k_AB,4,8,22,39,39,39.0
3.2393628061147974,k_AB,8,8,21,40,39,39.0
3.2500441279082524,k_AB,12,8,20,41,39,39.0
3.2532066882621558,k_Bx,0,16,20,40,40,40.0
3.2787447421223894,k_Bx,12,2,20,39,41,41.0
3.2853336977469252,k_Bx,6,12,20,38,42,42.0
3.2994922740744337,k_Bx,12,6,20,37,43,43.0
3.3107977205514243,k_Bx,10,8,20,36,44,44.0
3.3243990378569572,k_Bx,16,6,20,35,45,45.0
3.3479067779537703,k_Bx,18,2,20,34,46,46.0
3.3610112775201779,k_AB,18,6,19,35,46,46.0
3.369601426915072,k_A,8,10,20,35,45,45.0
3.395073274560676,k_A,14,2,21,35,44,44.0
3.4100723826180408,k_AB,8,6,20,36,44,44.0
3.4133311109246782,k_A,18,14,21,36,43,43.0
3.416701753970921,k_AB,18,14,20,37,43,43.0
3.4591624070738689,k_AB,10,0,19,38,43,43.0
3.4634988734959005,k_Bx,8,14,19,37,44,44.0
3.5246666351098965,k_AB,2,0,18,38,44,44.0
3.5598004240811112,k_A,16,0,19,38,43,43.0
3.5641846677524116,k_A,6,14,20,38,42,42.0
