Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.02005698963242836,k_A,10,4,1,0,99,99.0
0.047540269398188451,k_A,10,2,2,0,98,98.0
0.091213853887423063,k_A,10,0,3,0,97,97.0
0.091502269910561526,k_A,16,18,4,0,96,96.0
0.11120989769505546,k_Ax,10,4,3,0,97,97.0
0.11800273082953112,k_A,4,12,4,0,96,96.0
0.12303315493244553,k_A,0,14,5,0,95,95.0
0.12862906599084883,k_A,16,12,6,0,94,94.0
0.13738514044515768,k_A,10,10,7,0,93,93.0
0.17433329619261162,k_A,14,0,8,0,92,92.0
0.20090638430526148,k_AB,10,2,7,1,92,92.0
0.20383038849829893,k_A,2,16,8,1,91,91.0
0.21545599064192714,k_A,10,8,9,1,90,90.0
0.21560514059143771,k_AB,16,18,8,2,90,90.0
0.22464741311893394,k_A,8,10,9,2,89,89.0
0.23448750317330491,k_A,2,10,10,2,88,88.0
0.2366601153589466,k_A,10,16,11,2,87,87.0
0.23842366150443967,k_A,16,16,12,2,86,86.0
0.24310573071087249,k_A,4,14,13,2,85,85.0
0.24509264878594483,k_A,14,16,14,2,84,84.0
0.28790945360587605,k_Ax,10,0,13,2,85,85.0
0.29451581617690198,k_A,6,12,14,2,84,84.0
0.3040916049960713,k_A,4,10,15,2,83,83.0
0.30430997921529107,k_Bx,16,18,15,1,84,84.0
0.33911543157222118,k_A,18,0,16,1,83,83.0
0.34961947941429861,k_A,16,8,17,1,82,82.0
0.3732565470951047,k_A,18,2,18,1,81,81.0
0.39931252006357215,k_A,12,2,19,1,80,80.0
0.40133609868274067,k_A,12,16,20,1,79,79.0
0.43249629065863798,k_A,2,2,21,1,78,78.0
0.43998090782845461,k_A,18,10,22,1,77,77.0
0.4900605818290964,k_A,6,0,23,1,76,76.0
0.50325893915491593,k_A,0,8,24,1,75,75.0
0.50692062565450069,k_A,14,14,25,1,74,74.0
0.50799170018731188,k_A,4,18,26,1,73,73.0
0.51242828958530251,k_A,6,14,27,1,72,72.0
0.55586885024721799,k_A,8,0,28,1,71,71.0
0.57785089238353271,k_A,2,4,29,1,70,70.0
0.59589705230506906,k_A,16,4,30,1,69,69.0
0.59896014654484553,k_A,0,16,31,1,68,68.0
0.60792642673743413,k_A,6,10,32,1,67,67.0
0.61646319276142947,k_AB,8,10,31,2,67,67.0
0.61848383131449558,k_Ax,12,16,30,2,68,68.0
0.63717561662979327,k_A,12,4,31,2,67,67.0
0.64787066685943495,k_A,14,8,32,2,66,66.0
0.66754022938707336,k_A,8,4,33,2,65,65.0
0.69550575012109583,k_A,6,2,34,2,64,64.0
0.72365181580195781,k_Ax,6,2,33,2,65,65.0
0.72725897027145014,k_Ax,14,14,32,2,66,66.0
0.74137537830397138,k_A,12,6,33,2,65,65.0
0.74765847418472176,k_Ax,6,12,32,2,66,66.0
0.75996139181558331,k_A,2,8,33,2,65,65.0
0.79189379934608961,k_A,0,2,34,2,64,64.0
0.79276443809601005,k_A,6,18,35,2,63,63.0
0.79307640803270951,k_A,14,18,36,2,62,62.0
0.8026606494848727,k_A,0,10,37,2,61,61.0
0.81958209487565659,k_A,18,4,38,2,60,60.0
0.8273192723728926,k_A,14,10,39,2,59,59.0
0.86467415489317401,k_Ax,14,0,38,2,60,60.0
0.90201466814806452,k_A,14,0,39,2,59,59.0
0.90843529177334403,k_AB,4,12,38,3,59,59.0
0.91168792114270036,k_A,18,14,39,3,58,57.99999999999999
0.91302877369404611,k_A,0,18,40,3,57,56.99999999999999
0.94231532801238838,k_A,4,2,41,3,56,56.00000000000001
0.94416459365783689,k_Ax,14,16,40,3,57,56.99999999999999
0.94828556888340809,k_A,8,14,41,3,56,56.00000000000001
0.96163419525425731,k_A,16,6,42,3,55,55.00000000000001
0.97225197085439197,k_A,12,8,43,3,54,54.0
1.0056934061098695,k_Ax,18,0,42,3,55,55.00000000000001
1.0167360606066476,k_Ax,10,8,41,3,56,56.00000000000001
1.0339790781576261,k_Ax,18,4,40,3,57,56.99999999999999
1.0507052364015457,k_A,0,6,41,3,56,56.00000000000001
1.0517120655546346,k_AB,4,18,40,4,56,56.00000000000001
