Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,100,100.0
0.013849508260449049,k_A,16,16,1,0,99,99.0
0.13911607385569313,k_A,2,6,2,0,98,98.0
0.36048291967776092,k_A,4,2,3,0,97,97.0
0.53560541913789672,k_A,16,2,4,0,96,96.0
0.60410039712669139,k_A,2,10,5,0,95,95.0
0.61096998744731457,k_A,6,18,6,0,94,94.0
0.97840170216604294,k_A,4,0,7,0,93,93.0
0.99051698972208346,k_AB,16,16,6,1,93,93.0
1.1577148436926399,k_Ax,16,2,5,1,94,94.0
1.1656288209250036,k_Ax,6,18,4,1,95,95.0
1.300255534841033,k_A,12,4,5,1,94,94.0
1.3263683225161926,k_A,12,14,6,1,93,93.0
1.5891991825954133,k_A,14,0,7,1,92,92.0
1.6453795498268611,k_A,10,10,8,1,91,91.0
1.8430114490991196,k_AB,4,2,7,2,91,91.0
1.8446071657238845,k_A,16,18,8,2,90,90.0
1.9272552168879593,k_A,6,8,9,2,89,89.0
1.9805631579600695,k_A,12,10,10,2,88,88.0
1.9814486904366413,k_A,18,18,11,2,87,87.0
2.1367811432157713,k_A,0,4,12,2,86,86.0
2.2969892210461307,k_A,18,2,13,2,85,85.0
2.3199196773636763,k_A,16,14,14,2,84,84.0
2.4729583843984488,k_AB,18,2,13,3,84,84.0
2.5200588116951033,k_A,0,12,14,3,83,83.0
2.5287524790176361,k_A,4,18,15,3,82,82.0
2.7874600946310233,k_A,12,0,16,3,81,81.0
2.8796469077861797,k_A,14,6,17,3,80,80.0
2.9102465883041302,k_A,4,14,18,3,79,79.0
2.9160817242134662,k_A,8,18,19,3,78,78.0
2.9603480283167771,k_A,2,12,20,3,77,77.0
2.9809499360581126,k_A,18,14,21,3,76,76.0
3.2004179549390033,k_AB,14,0,20,4,76,76.0
3.216562217924444,k_A,8,16,21,4,75,75.0
3.2961381732155592,k_Ax,6,8,20,4,76,76.0
3.4412113697058633,k_A,2,4,21,4,75,75.0
3.5287704537739155,k_A,16,6,22,4,74,74.0
3.7063065997572484,k_A,8,2,23,4,73,73.0
3.8785872225162552,k_AB,8,2,22,5,73,73.0
3.9188887391150193,k_A,8,12,23,5,72,72.0
4.0362234503751271,k_A,14,4,24,5,71,71.0
4.0426783279073746,k_Ax,8,18,23,5,72,72.0
4.1141059235907118,k_A,10,8,24,5,71,71.0
4.1837682921186152,k_A,12,8,25,5,70,70.0
4.297353977060415,k_AB,14,4,24,6,70,70.0
4.3885657298514831,k_Ax,14,6,23,6,71,71.0
4.4546639134593216,k_A,18,8,24,6,70,70.0
4.6257557543813217,k_A,10,2,25,6,69,69.0
4.6414329933917085,k_A,6,16,26,6,68,68.0
4.6955066492385651,k_Ax,10,10,25,6,69,69.0
4.7319929930005413,k_A,12,12,26,6,68,68.0
4.789388756956626,k_A,4,10,27,6,67,67.0
4.9182845171116139,k_A,6,4,28,6,66,66.0
5.015688206029993,k_A,4,6,29,6,65,65.0
5.1035133255952898,k_A,12,6,30,6,64,64.0
5.126963141111716,k_Ax,12,14,29,6,65,65.0
5.1624806805825063,k_AB,8,12,28,7,65,65.0
5.1785852077813139,k_A,4,16,29,7,64,64.0
5.2124883520943808,k_AB,12,12,28,8,64,64.0
5.384276176894307,k_Ax,10,2,27,8,65,65.0
5.5100566543076033,k_A,8,4,28,8,64,64.0
5.5671965503989496,k_Ax,2,10,27,8,65,65.0
5.8324639770170918,k_A,8,0,28,8,64,64.0
5.8410398277831641,k_A,0,18,29,8,63,63.0
5.8462354653374078,k_A,8,18,30,8,62,62.0
6.0377389383829598,k_A,0,2,31,8,61,61.0
6.1756349222387072,k_Ax,0,4,30,8,62,62.0
6.2844926943161363,k_Bx,14,4,30,7,63,63.0
6.2908953200725453,k_A,6,18,31,7,62,62.0
6.398429318588331,k_A,14,4,32,7,61,61.0
6.512651621960754,k_Ax,12,4,31,7,62,62.0
6.6761265218718506,k_Bx,8,2,31,6,63,63.0
6.6973505954995032,k_AB,18,14,30,7,63,63.0
6.7113349587589983,k_A,12,16,31,7,62,62.0
6.9053948167554031,k_A,18,0,32,7,61,61.0
7.2315945738785379,k_Ax,4,0,31,7,62,62.0
7.2451318617100444,k_AB,12,16,30,8,62,62.0
7.2666676895973623,k_Bx,18,14,30,7,63,63.0
7.3149524601604607,k_AB,12,10,29,8,63,63.0
7.3413737259474834,k_A,10,14,30,8,62,62.0
7.6785806550542146,k_A,4,0,31,8,61,61.0
7.7222840458559299,k_Ax,0,12,30,8,62,62.0
7.775179860139696,k_AB,4,10,29,9,62,62.0
7.891864495847118,k_AB,8,4,28,10,62,62.0
7.8964494377497871,k_A,10,18,29,10,61,61.0
7.9558588966237895,k_Ax,18,8,28,10,62,62.0
8.0282984410530904,k_A,4,8,29,10,61,61.0
