Time (ps),Event,x position,y position,Running Coverage - A,Running Coverage - B,empty sites,% coverage
0.0,start,0,0,0,0,20,100.0
0.032053531933273413,k_A,2,8,1,0,19,95.0
0.053289238124072102,k_A,2,10,2,0,18,90.0
0.15648710473115091,k_A,2,0,3,0,17,85.0
0.19611110028533463,k_A,2,6,4,0,16,80.0
0.19960195181751522,k_A,2,16,5,0,15,75.0
0.2133262317017969,k_A,2,12,6,0,14,70.0
0.25686179700511497,k_A,0,6,7,0,13,65.0
0.2613221619861345,k_Ax,2,16,6,0,14,70.0
0.31249668640762213,k_A,0,4,7,0,13,65.0
0.31319128700252308,k_A,2,18,8,0,12,60.0
0.32541249519316345,k_Ax,2,12,7,0,13,65.0
0.33610431649726596,k_A,2,12,8,0,12,60.0
0.41262732949884723,k_AB,2,0,7,1,12,60.0
0.43779091245787577,k_Ax,2,8,6,1,13,65.0
0.44157637175016579,k_A,0,18,7,1,12,60.0
0.50386474066202147,k_Ax,0,4,6,1,13,65.0
0.53577983943219909,k_A,0,8,7,1,12,60.0
0.56946431653378793,k_AB,2,6,6,2,12,60.0
0.61786551943744961,k_Ax,0,6,5,2,13,65.0
0.62911675056890404,k_A,2,14,6,2,12,60.0
0.63433381794679367,k_Ax,0,18,5,2,13,65.0
0.64817309393368883,k_AB,2,12,4,3,13,65.0
0.68874853189826279,k_Ax,0,8,3,3,14,70.0
0.73934250635216114,k_A,0,6,4,3,13,65.0
0.76889050315310037,k_A,2,8,5,3,12,60.0
0.79623447065908615,k_AB,2,8,4,4,12,60.0
0.82825719004151699,k_Bx,2,8,4,3,13,65.0
0.92508743110876523,k_Bx,2,0,4,2,14,70.0
0.94672949379169113,k_AB,2,10,3,3,14,70.0
0.96459026874531018,k_Bx,2,12,3,2,15,75.0
0.97501524022559638,k_AB,2,14,2,3,15,75.0
1.1273557774039487,k_A,0,0,3,3,14,70.0
1.2509768905155618,k_Ax,0,0,2,3,15,75.0
1.2519188729437143,k_AB,2,18,1,4,15,75.0
1.3097031941596766,k_A,2,4,2,4,14,70.0
1.3441461873196203,k_Bx,2,6,2,3,15,75.0
1.3483076482069345,k_A,2,16,3,3,14,70.0
1.3513682462187233,k_A,0,18,4,3,13,65.0
1.4033663945796411,k_Ax,2,4,3,3,14,70.0
1.4050101619447215,k_Bx,2,18,3,2,15,75.0
1.4262931901319262,k_A,0,12,4,2,14,70.0
1.4375436900319873,k_Bx,2,14,4,1,15,75.0
1.4490671006692062,k_A,2,14,5,1,14,70.0
1.4682610794695934,k_AB,0,12,4,2,14,70.0
1.4842049879987946,k_A,0,14,5,2,13,65.0
1.5060958914643985,k_Bx,0,12,5,1,14,70.0
1.5126743772757651,k_Ax,2,16,4,1,15,75.0
1.5745184700453538,k_A,0,4,5,1,14,70.0
1.5754893827339183,k_A,2,18,6,1,13,65.0
1.5788862098566707,k_AB,0,18,5,2,13,65.0
1.5899055757388576,k_Ax,2,14,4,2,14,70.0
1.6789453589713048,k_A,0,2,5,2,13,65.0
1.7029017369196362,k_A,2,8,6,2,12,60.0
1.7153112275982605,k_Ax,0,14,5,2,13,65.0
1.7521869057776884,k_Ax,0,6,4,2,14,70.0
1.7569011702895367,k_Bx,0,18,4,1,15,75.0
1.7686328328330929,k_A,0,14,5,1,14,70.0
1.7772698459482661,k_A,2,14,6,1,13,65.0
1.8527615836971929,k_Ax,0,2,5,1,14,70.0
1.8744404938964347,k_Bx,2,10,5,0,15,75.0
1.9272167402692697,k_AB,0,4,4,1,15,75.0
1.9531711247051611,k_A,0,10,5,1,14,70.0
2.0052634811012324,k_A,2,4,6,1,13,65.0
2.0336096987160297,k_AB,2,8,5,2,13,65.0
2.0833013603993948,k_AB,2,4,4,3,13,65.0
2.1130265097546537,k_Ax,0,10,3,3,14,70.0
2.1412329632982883,k_A,2,10,4,3,13,65.0
2.1495633637472209,k_A,0,16,5,3,12,60.0
2.248434495890923,k_A,2,0,6,3,11,55.00000000000001
2.2503023095049293,k_Ax,2,18,5,3,12,60.0
2.2682964193095558,k_A,2,12,6,3,11,55.00000000000001
2.2817769876440468,k_Ax,0,14,5,3,12,60.0
2.3144094476264665,k_Bx,2,8,5,2,13,65.0
2.3282269169489673,k_A,0,14,6,2,12,60.0
2.4015591563730823,k_A,0,2,7,2,11,55.00000000000001
2.4251025564085387,k_Ax,2,10,6,2,12,60.0
2.5325035808750922,k_Ax,2,0,5,2,13,65.0
2.5556367412243421,k_A,0,12,6,2,12,60.0
2.5567444120554317,k_A,2,18,7,2,11,55.00000000000001
2.5701858114074603,k_AB,0,14,6,3,11,55.00000000000001
2.633644893592423,k_A,2,2,7,3,10,50.0
2.7421581799209176,k_A,2,0,8,3,9,45.0
2.7720240337304842,k_A,0,8,9,3,8,40.0
2.8050714334554763,k_A,0,6,10,3,7,35.0
2.8310132915027926,k_Ax,0,8,9,3,8,40.0
2.8379100156296397,k_Ax,0,16,8,3,9,45.0
2.8646661152109067,k_A,0,8,9,3,8,40.0
2.8799015561763146,k_Ax,0,12,8,3,9,45.0
2.8857942654903335,k_A,0,16,9,3,8,40.0
2.9399058972456751,k_Ax,2,2,8,3,9,45.0
2.9691776405255474,k_Ax,0,8,7,3,10,50.0
3.0253617447727001,k_AB,0,2,6,4,10,50.0
3.0684306249432871,k_Ax,0,6,5,4,11,55.00000000000001
3.1044261624363036,k_A,0,8,6,4,10,50.0
3.1727828256734427,k_Bx,0,2,6,3,11,55.00000000000001
3.1907236984943768,k_Ax,2,12,5,3,12,60.0
3.2445277399757062,k_Bx,0,4,5,2,13,65.0
3.2537329079327755,k_Ax,0,16,4,2,14,70.0
3.2957177369023678,k_A,0,6,5,2,13,65.0
3.3180732378425892,k_A,0,10,6,2,12,60.0
3.3260816261292372,k_AB,2,14,5,3,12,60.0
3.3426670869092496,k_A,2,10,6,3,11,55.00000000000001
3.3996715931904813,k_A,2,2,7,3,10,50.0
3.4212944248338886,k_Ax,0,10,6,3,11,55.00000000000001
3.4296570730296811,k_Bx,2,14,6,2,12,60.0
3.443526552207556,k_A,0,12,7,2,11,55.00000000000001
3.4485221462814435,k_A,2,16,8,2,10,50.0
3.4718211484870265,k_A,2,8,9,2,9,45.0
3.4722489454525203,k_AB,2,18,8,3,9,45.0
3.4962887434152825,k_Ax,2,8,7,3,10,50.0
3.5187129264731594,k_A,2,8,8,3,9,45.0
3.6145072866769081,k_Ax,2,0,7,3,10,50.0
3.6398950190632737,k_Ax,2,8,6,3,11,55.00000000000001
3.7236568931804213,k_A,0,2,7,3,10,50.0
3.7433922629609362,k_A,0,10,8,3,9,45.0
3.7537847756756846,k_A,2,12,9,3,8,40.0
3.7827843861103148,k_Ax,0,8,8,3,9,45.0
